Sentences,Presidential_Candidate,State,Vote_1,Vote_2,Final_Sent,Predicted_Sent
There was he was never going to get over forty seven percent.,Donald Trump,Michigan,-1,0,-1,0
So we know Harris is also kicking off her own battleground blitz.,Kamala Harris,Pennsylvania,0,-1,0,0
But now what Pennsylvania voters are looking at is Donald Trump's awful track record on manufacturing jobs and his awful job record overall.,Donald Trump,Pennsylvania,-1,-1,-1,-1
"And so Harris is really trying to appeal to those voters, you know, certainly now in West Michigan, but she's spent a lot of time here in metro Detroit.",Kamala Harris,Michigan,0,1,0,0
"But former President Trump has his own issues in Pennsylvania, the suburbs.",Donald Trump,Pennsylvania,-1,0,-1,0
605 now and Vice President Harris is set to make a return trip to our state today.,Kamala Harris,Arizona,1,0,0,0
"Meanwhile, more voters think Trump is more likely to say that things are not true.",Donald Trump,Michigan,-1,-1,-1,-1
"Now, before I get to showing you the electoral college map and how Michigan could be one of the reasons why she will lose this election, let's take a look at this interview she did right after her rally today.",Kamala Harris,Michigan,-1,-1,-1,-1
We've seen polls that show Vice President Harris up by a couple.,Kamala Harris,Arizona,1,0,1,1
"We do know that when Trump was president, he worked to try to overturn temporary protective status, those sort of visas for Haitian immigrants.",Donald Trump,Pennsylvania,-1,0,-1,-1
I'm just going to show you small portions of it because this goes on for minutes as he's bobbing around and these songs are playing here.,Donald Trump,Pennsylvania,0,1,0,0
Then she has the slight advantage.,Kamala Harris,Pennsylvania,0,1,0,1
And Donald Trump only fell 80000 votes short back then.,Donald Trump,Michigan,0,0,0,0
"No guarantee that she wins Michigan at this point. It's obviously more likely than not, but I will say this, Michigan has been a tricky one for Kamala Harris.",Kamala Harris,Michigan,0,1,0,1
Donald Trump wants a national abortion ban.,Donald Trump,Arizona,0,0,0,0
"The White House released a new memo today, timed to the VP's visit, noting that border crossings are now lower than when Trump left office, thanks to a strict new asylum policy.",Donald Trump,Arizona,1,-1,-1,0
"Concrete plans she'll give first-time homebuyers up to $25,000 to help them with a down payment.",Kamala Harris,Arizona,1,1,1,1
"Yeah, i mean, Trump's doing very well, but it is very early voting there.",Donald Trump,Arizona,1,1,1,1
She never worked at McDonald's. She says she did.	,Kamala Harris,Michigan,-1,0,-1,0
"Doug, to what extent are these, the swing voters, the Haley voters, maybe from the primary, so by the way, weren't all registered Republicans, yeah, look, you're talking about the same subset of voters, right: some of them are registered Republicans, some of them are independent, and they're looking for, as Ron said, that permission structure to vote for Harris, but they also wanna hear from Kamala Harris.",Kamala Harris,Michigan,1,1,1,0
"She was not popular, people didn't like her.",Kamala Harris,Pennsylvania,-1,-1,-1,-1
I don't think she's done a press conference as far as I can recall.,Kamala Harris,Pennsylvania,-1,0,0,0
And he makes friends with them because he makes peace.,Donald Trump,Michigan,1,1,1,1
"And right now, with 11 months to go, Trump is ahead in Michigan.",Donald Trump,Michigan,1,0,1,1
It's almost more insulting for Harris to claim she's pro-union while never actually doing anything that uplifts the working class.,Kamala Harris,Michigan,-1,-1,-1,-1
The hears his campaign is calling Trump's positions unpopular and damaging.,Donald Trump,Pennsylvania,-1,-1,-1,-1
And you will probably see a decent swing to Donald Trump.,Donald Trump,Pennsylvania,-1,0,0,1
"And what I see when it just comes down to voter enthusiasm, I don't see people just lining up to vote for Harris.",Kamala Harris,Arizona,-1,-1,-1,0
"The last time we saw him and supported him, my son and I were at Washington, D.C. January 6th.",Donald Trump,Pennsylvania,0,1,0,-1
"And that's a major reason why now we have Kamala Harris in the lead in Pennsylvania, where Joe Biden just simply did not.",Kamala Harris,Pennsylvania,1,0,0,0
"Make sure you're registered to vote vote dot org and make sure that when you get into that ballot booth and you go ahead and you're filling out your ballot, make sure that you're voting for Harris Waltz 2024.",Kamala Harris,Michigan,1,1,1,1
"Right, trump's a divider, we're going to bring you together around the Steelers game.",Donald Trump,Pennsylvania,-1,0,-1,0
"His substantial donation is aimed at supporting Harris' vision of creating more equitable and thriving urban communities across the country, ensuring that economic growth benefits all citizens, regardless of their socioeconomic status.",Kamala Harris,Pennsylvania,1,1,1,1
And the striking thing about this race is Donald Trump's inability to move consistently above 47 percent.,Donald Trump,Michigan,-1,-1,-1,-1
You think Donald Trump's ever changed his diaper: no.,Donald Trump,Arizona,1,-1,-1,-1
"Harris underscored her push to create an opportunity economy through her child tax credit expansion, down payment assistance for first time homebuyers and targeting price gouging.",Kamala Harris,Arizona,0,0,0,1
"And I wonder what it is as they introduce Kamala Harris' running mate to the nation, as he introduces himself, what you want people to know about Tim Walz, other than the flannel shirts, which I understand are real.",Kamala Harris,Michigan,0,1,0,0
"No one operating here on the ground in Michigan should have or would have expected this to be any easier than it has been, she said.",Kamala Harris,Michigan,0,-1,-1,-1
"But looking at the general election matchup, Kamala Harris now takes the lead.",Kamala Harris,Pennsylvania,1,0,0,1
"Hey, she's a prosecutor.",Kamala Harris,Arizona,0,0,0,0
"But they they have a lot of synergy at the top of the ticket where Trump appeals to that working class, middle class union Democrat.",Donald Trump,Pennsylvania,0,1,1,1
We know that Wall Street Journal and many other Goldman Sachs and other financial firms have predicted a worse economy under Trump.,Donald Trump,Arizona,-1,-1,-1,-1
"Wisconsin, 60 percent chance for Kamala Harris victory, this is where you see Pennsylvania and the Rust Belt states move in unison in favor of Vice President Harris.",Kamala Harris,Pennsylvania,1,1,1,1
"Voting's already started, i've already debated twice, i won twice, kamala Harris, she knows she's losing. She knows that, forget what the polls say, man.",Kamala Harris,Michigan,-1,1,-1,-1
"Following the president's announcement, much of Michigan's top Democratic leaders are also putting their support behind Vice President Harris for that nomination.",Kamala Harris,Michigan,1,1,1,1
The man relinquished his position as the president and Biden is the president.,Donald Trump,Arizona,1,0,0,0
The Trump announcement next Tuesday will be on those platforms.,Donald Trump,Pennsylvania,0,0,0,0
"Are you confident, Harris, can win Michigan, well, if I listen to you and Harry, I think she ought to quit, okay: i mean, I just never seen anything like the piling on about, well, she's behind Union House, oh, she's behind in Dearborn, she's behind here, there, she's behind everywhere.",Kamala Harris,Michigan,-1,-1,-1,-1
"Harris was there on Monday speaking to a crowd of about 6,000 in Erie and then Governor Walls was hitting some of the rural counties surrounding Erie Pennsylvania as well.",Kamala Harris,Pennsylvania,0,1,0,0
"In Pennsylvania, Trump winning by 30 plus points.",Donald Trump,Pennsylvania,0,1,0,1
"This is just a starting point, yeah, so man, that is huge news there from the mayor of Hamtrap, Michigan, a Democrat endorsing President Trump.",Donald Trump,Michigan,1,1,1,1
Now to the most recent poll from Michigan State University showing Kamala Harris with roughly a 4.6% 4.7% lead across the battleground state.,Kamala Harris,Michigan,1,-1,1,1
"Sorry, made Donald Trump less able to go after Tim Walz on a topic like this now that there was direct audio evidence of him saying that Tim Walz did the opposite of what he was trying to accuse him of for this election cycle.",Donald Trump,Arizona,1,-1,-1,-1
Donald Trump has done brilliantly in the latest polls in Pennsylvania.,Donald Trump,Pennsylvania,1,1,1,1
"These groups have responded favorably to her focus on health care, education, and social justice, a contrast to Trump's policy emphasis on economic growth and immigration control.",Donald Trump,Arizona,-1,0,-1,1
"Inside team Harris's unusual levels of finger pointing, which is very typical for these people, where there's no leadership at all.",Kamala Harris,Pennsylvania,-1,-1,-1,-1
And it does feel like a bit of a pivotal moment here as we're finally seeing Trump tied to a courtroom day after day.,Donald Trump,Pennsylvania,0,1,0,1
He warns that Israel will no longer exist if Vice President Kamala Harris becomes president.,Kamala Harris,Pennsylvania,-1,-1,-1,-1
You have the Palestine protester on the same exact day screaming down at the rally.,Donald Trump,Michigan,1,-1,1,-1
"That's a pretty easy job, governor Walz has to go around and somehow convince the American people that Kamala Harris is going to solve the very problem she's been creating over the last three and a half years.",Kamala Harris,Arizona,-1,1,-1,-1
"You know, you've right now you've got Trump sitting plus 0.5, obviously very close, but it wouldn't surprise me if we saw more positive movement in Trump in Trump's direction when it comes to Arizona and then taking a look at Nevada.",Donald Trump,Arizona,1,1,1,1
"Washington Post reports this quote, the six-month GOP driven review confirmed the accuracy of the results according to a report released last month, but that hasn't silenced Trump who continues to make false claims or those of other Republicans including several Arizona lawmakers on the House Committee.",Donald Trump,Arizona,-1,0,-1,-1
"None some facets of our economic lives like health care, the edge goes to Kamala Harris.",Kamala Harris,Michigan,-1,1,-1,1
"It was the party of John McCain and then Donald Trump and MAGA continue to attack John McCain, even after John McCain passed away.",Donald Trump,Arizona,0,-1,-1,-1
"Nobody else is running, she's got the endorsement.",Kamala Harris,Michigan,1,1,1,1
"If somebody says, well, I'm thinking about voting for Trump because I remember the economy being pretty good, remind them why it was good.",Donald Trump,Arizona,1,1,1,1
"Doesn't necessarily mean that these other states don't matter and that he wouldn't like to do well across the board because yeah, if you get Georgia, Arizona, Nevada, Wisconsin, you won't need Pennsylvania.",Donald Trump,Arizona,1,0,0,0
"It's awesome, to say the least, we're gonna be playing you some footage from Fox News and from the Hannity exclusive, which showcases the border crisis and how Kakamala Harris is trying to handle it, which is to say, not at all.",Kamala Harris,Arizona,-1,1,-1,0
"However, Harris also understands the need to distinguish herself.",Kamala Harris,Pennsylvania,0,0,0,0
"So I would not, with a protest vote, vote for Trump, some would argue that a vote for Jill Stein is a vote for Donald Trump.",Donald Trump,Michigan,-1,-1,-1,0
She's got to do more with Latino men.,Kamala Harris,Arizona,1,0,0,0
And Watkins says he believes Shapiro is the kind of candidate that could pull Pennsylvania in favor of Harris.,Kamala Harris,Pennsylvania,0,1,0,0
And I think that's partly because Trump has tried to paint this as a politically motivated attack against them.,Donald Trump,Pennsylvania,-1,0,-1,-1
"And I have to say, I attribute this to the toxic politics of violence and disorder promoted by Donald Trump before Donald Trump.",Donald Trump,Michigan,-1,-1,-1,-1
"Cause of course, under her policies, the price of groceries got way more expensive.",Kamala Harris,Arizona,-1,-1,-1,-1
Kamala stood up to Wall Street and the DeGroote Company.,Kamala Harris,Arizona,1,0,1,0
"Maybe some of the internal, show Kamala Harris, in a pretty okay position in the state of Michigan.",Kamala Harris,Michigan,1,1,1,1
"One who's voting for the very first time, another who believes Harris needs to lay out who she is as a candidate and some of her policies more clearly.",Kamala Harris,Arizona,-1,1,-1,0
"The legal victory serves as a testament to Trump's ability to navigate and influence legal and political processes, which can enhance his appeal to voters who value these qualities.",Donald Trump,Pennsylvania,1,1,1,1
"Hey, Donald Trump is your president.",Donald Trump,Pennsylvania,1,0,0,0
"And a lot of that has to do with, one, Trump has a strong history here.",Donald Trump,Arizona,1,1,1,1
"But with less than a month to go before election day, Harris' honeymoon period in Michigan could be ending, leaving her pathway to victory less certain.",Kamala Harris,Michigan,-1,1,-1,0
"On the economy, she said her plan involves $25,000 toward down payments for first time home buyers and a $6,000 tax credit to parents of newborns.",Kamala Harris,Arizona,1,1,1,0
He's passionate.,Donald Trump,Michigan,1,1,1,1
"But the truth is, I can have those conversations with Kamala Harris when we disagree.",Kamala Harris,Michigan,1,-1,1,0
"And we know in this election, we have an opportunity to turn the page on a decade of Donald Trump trying to keep us divided and afraid of each other.",Donald Trump,Arizona,-1,-1,-1,-1
Can you just imagine her representing our country: she's trying to eke out right now.,Kamala Harris,Arizona,-1,0,-1,1
That's where a new poll from the Detroit News and WDIV TV says Vice President Harris is up three points.,Kamala Harris,Michigan,1,0,1,0
"Mayor, share with us what it means to have vice president and Democratic nominee Kamala Harris here in technically Lansing, but Lansing to speak to workers at New York.",Kamala Harris,Michigan,0,1,0,0
"But right now, it is possible that Trump is gonna win 25% of the black vote.",Donald Trump,Michigan,1,1,1,1
"I think that was probably fair, but I've seen her evolve over the last four years.",Kamala Harris,Arizona,1,1,1,0
"They are aware that with Trump as president, small businesses will prosper in Arizona.",Donald Trump,Arizona,1,1,1,1
"I just think the incumbent because remember, Trump got in 2016, there's almost a million primary voters in Michigan.",Donald Trump,Michigan,0,0,0,0
"A lot of people don't realize this, but outside of Philadelphia and Pittsburgh, it is Trump country.",Donald Trump,Pennsylvania,1,0,0,0
He already has divided our country with his first term.,Donald Trump,Michigan,-1,0,-1,-1
"Harris's entrance into the race led to more than 100,000 new volunteers in Michigan while she has visited Michigan more than any other state besides Pennsylvania.",Kamala Harris,Michigan,1,0,1,1
Even fake news CNN fact checked her on that.,Kamala Harris,Pennsylvania,-1,-1,-1,-1
"When you actually listen to the words that Donald Trump says, number one, don't make a whole lot of sense, and number two, are never focused on the American people, are never focused on making your life better.",Donald Trump,Michigan,-1,0,-1,-1
"The genocide happened under Biden, the Harris administration, and when I showed them that we can unseat them.",Kamala Harris,Michigan,-1,0,-1,-1
"The lead was pretty substantial, that he had room to fall, but that room and that gap had been narrowing and narrowing and narrowing.",Donald Trump,Pennsylvania,0,1,0,0
"But again, where has she been the last three and a half years? And I think that's the question on all of our minds.",Kamala Harris,Arizona,-1,0,-1,0
"Northeastern Pennsylvania, Harris's prospects are dicier.",Kamala Harris,Pennsylvania,0,1,0,0
And it comes as recent polling from Bloomberg and Morning Consult shows Harris gaining ground in Arizona and Nevada.,Kamala Harris,Arizona,1,1,1,1
She's not in first place.,Kamala Harris,Michigan,-1,0,-1,0
"I've also seen other polling that has President Trump with the small lead, some that shows the vice president with a small lead.",Donald Trump,Michigan,0,0,0,1
"Well, now they flipped the script and now they're just trying to blame Trump for the border.",Donald Trump,Arizona,1,1,1,-1
"Hey Adrian, well Vice President Kamala Harris came out and within the first five minutes of her being on stage she addressed the Arab American community and we have been reporting about the Arab American community here in Michigan and that they feel like they have been forgotten by the Democratic Party because of the Biden-Harris administration support of Israel's war in Gaza.",Kamala Harris,Michigan,-1,-1,-1,-1
Trump won it by 3.1.,Donald Trump,Michigan,1,1,1,1
"So you know what Harris is doing right now, it makes a tremendous amount of sense.",Kamala Harris,Michigan,1,0,1,0
"And the only way forward, the only way forward is to elect Kamala Harris as our next president and Kim was as our next vice president and cast that vote now.",Kamala Harris,Arizona,1,0,1,1
Macomb County was in focus for Harris's running mate Tim Walz just above Detroit there.,Kamala Harris,Michigan,1,0,1,0
"You know, he's not a career politician. He is a, you know, businessman.",Donald Trump,Pennsylvania,0,0,0,0
Even Republicans think endorsement helped Harris.,Kamala Harris,Arizona,1,1,1,1
"Kamala don't know, kamala is a general idiot, like worse than the normie mouth breather.",Kamala Harris,Pennsylvania,-1,-1,-1,-1
"I'm sorry gentlemen, I've noticed this especially with some men who seem to think Trump's behavior, the bullying and the putting people down is a sign of strength.",Donald Trump,Pennsylvania,-1,-1,-1,-1
"When he's not complaining, he's trying to sell you stuff.",Donald Trump,Michigan,-1,1,-1,-1
"It seemed like a major development from the White House lectern, spurning executive privilege claims by Donald Trump if he tries to make them around January 6th.",Donald Trump,Arizona,-1,-1,-1,0
"Well, what would you have done differently over the last four years? And Kamala Harris says, nothing comes to mind.",Kamala Harris,Arizona,-1,1,-1,-1
"Well, when he's not doing those things, he's hawking $100,000 watches.",Donald Trump,Arizona,-1,1,-1,-1
"So he's picking these little wedge issues, and he knows that there's an opportunity.",Donald Trump,Arizona,1,0,0,0
"This is how it goes now, and then we have the lies that Trump and his crack team of wing nuts have been spreading.",Donald Trump,Pennsylvania,-1,-1,-1,-1
"Earlier this week, Loomer sharing a racist post about Harris, who's the child of Jamaican and Indian immigrants, suggesting if Harris wins, the White House will smell like curry, among other things.",Kamala Harris,Arizona,1,-1,-1,-1
They think she's good value right now.,Kamala Harris,Michigan,1,1,1,1
"She cannot campaign on policies to fix crime, inflation, and border security without undermining the Biden-Harris administration's policies.",Kamala Harris,Arizona,-1,0,-1,-1
Donald Trump wants another tax giveaway for billionaires.,Donald Trump,Arizona,-1,0,-1,-1
"He's just slandering at this point, which I don't like that and I really wish that it would be more about what is, what are your plans as a president versus what are you just want to trash talk the next person because we can always say something bad about somebody.",Donald Trump,Arizona,-1,-1,-1,-1
"President Trump visited East Lansing after President Trump traveled to Dearborn Friday, marking the first time a leading presidential candidate visited the Arab American majority city.",Donald Trump,Michigan,1,0,1,0
"No, and I know that the media wants to gaslight us and the media wants to have all of these narratives and and also hoist up fascism and try to normalize Donald Trump's behavior.",Donald Trump,Pennsylvania,-1,-1,-1,-1
"Even RMG research the same pollster, a bunch of people on Twitter ran around with two weeks ago saying Kamala Harris has a surge.",Kamala Harris,Pennsylvania,-1,0,0,1
"Well, Jake, besides the Friday rally and a press conference Thursday, Trump has been somewhat absent from the campaign trail compared to his opponent.",Donald Trump,Arizona,-1,1,-1,0
Make the case for Republicans who might be thinking about voting for Kamala Harris.,Kamala Harris,Arizona,1,0,0,0
So this is this a good numbers for Trump.,Donald Trump,Michigan,1,1,1,1
"On the other hand, Harris's supporters emphasize the importance of progressive policies, particularly those aimed at healthcare reform and social equity.",Kamala Harris,Pennsylvania,1,1,1,1
"Barack Obama wanted to gather more support for Vice President Kamala Harris, but he's managed to do the opposite.",Kamala Harris,Pennsylvania,0,1,0,0
"While this was all going on, while you didn't get a phone call yourself from President Trump, repeated phone calls, were you aware of this fake electors gambit that the president and his team was going through: well, I don't think we were aware at the time that it was an orchestrated scheme by the former president and his allies.",Donald Trump,Arizona,1,-1,-1,-1
She's talking about a tax cut for 100 million Americans.,Kamala Harris,Arizona,1,0,1,0
"And that's true, but it is looking good for Trump because he's getting this boost with the third-party candidates on the ballot in Arizona.",Donald Trump,Arizona,1,1,1,1
"Was it Kamala Harris, was it neither: okay, Nicole, is a neither and Denise, you're a neither too.",Kamala Harris,Arizona,0,0,0,-1
"The real clear politics aggregate for Pennsylvania is exactly tied right now, even with Bloomberg Morning Consult throwing in a Harris plus five that's way out in left field.",Kamala Harris,Pennsylvania,0,1,0,0
"And there is a concern privately among some Democrats that Vice President Harris, her support among some some union members could be a little bit soft.",Kamala Harris,Pennsylvania,-1,1,-1,-1
"So our last one to you yesterday, Donald Trump spoke a lot about the border.",Donald Trump,Arizona,1,0,0,0
"As president, she'll fight to lower the cost of health care and elder care for every family.",Kamala Harris,Michigan,1,1,1,1
"That is really good news for Kamala Harris and also just goes to show that these are pollsters that come from very different backgrounds, very different funding sources, very different methodologies in understanding the Pennsylvania electorate.",Kamala Harris,Pennsylvania,1,1,1,1
"Here, play this clip, and so after all these years, we know who Donald Trump is.",Donald Trump,Pennsylvania,0,1,0,0
"Um, this is Michigan, Michigan where two weeks ago and even a week ago she had a lead and, and two weeks ago start almost started to feel comfortable.",Kamala Harris,Michigan,1,1,1,1
On the other side of the issue there's a question about immigration on the ballot and immigration is something that is definitely lighting up the supporters of Donald Trump.,Donald Trump,Arizona,1,1,1,1
"We could debate how much, but he's likely to gain some.",Donald Trump,Pennsylvania,0,1,0,0
"Since Harris became the presumptive nominee, another campaign official said more than 20,000 new volunteers have signed up.",Kamala Harris,Arizona,1,0,1,1
"Now we know that the Harris campaign has invested significant time, energy and money into visiting college campuses all across the country.",Kamala Harris,Michigan,0,1,1,1
"I know that people think because of the presidential race they're going to help us, Nez said of the Harris campaign.",Kamala Harris,Arizona,1,0,0,1
She tweeted about that September 10th debate.,Kamala Harris,Arizona,1,0,0,0
"The campaign, VP Harris, the administration, they have repeatedly said to us that they actually don't want us to mobilize their people.",Kamala Harris,Michigan,-1,-1,-1,-1
He talks a big game but he was an absolute disaster for working people.,Donald Trump,Michigan,-1,-1,-1,-1
He's continued to talk about it and really rail against electric vehicles and come what he is trying to basically counter and say hey look we want to compete with China.,Donald Trump,Michigan,0,1,0,0
Vice President Kamala Harris's new ad is aimed at showing what she has in common with Latino voters here in Arizona and other battleground states.,Kamala Harris,Arizona,0,1,1,0
"Yeah, there's some things that need to be changed, but Kamala's going to do that. She's going to make the changes.",Kamala Harris,Michigan,1,1,1,0
"And I got to say, one more part of the closing argument I'm making for Kamala Harris is that a vote for Kamala Harris is, I think, a vote for someday having a more normal Republican Party again.",Kamala Harris,Michigan,1,1,1,0
She is particularly good at it.,Kamala Harris,Michigan,1,1,1,1
"Selena Wang for us, Selena, thank you, wow, vice President Harris was there on that stage.",Kamala Harris,Arizona,0,1,0,0
"Appreciate you as always, all right, folks, Donald Trump and the increasingly haunting realization that he will be reelected has broken the collective liberal brain and I just hope that their networks cover therapy.",Donald Trump,Arizona,1,1,1,-1
"Only one man can fix that, that is Donald J. Trump.",Donald Trump,Arizona,1,0,1,-1
Michigan had about a two-point lead for Kamala Harris just a few weeks ago.,Kamala Harris,Michigan,1,0,1,1
But I think she definitely has a chance.,Kamala Harris,Arizona,1,1,1,1
"If Harris can effectively mobilize these groups, coupled with sustained enthusiasm from her core base, she could create a formidable coalition that significantly enhances her electoral prospects.",Kamala Harris,Pennsylvania,1,1,1,1
Donald Trump also attempted to reach that election supervisor leading to this voicemail from the White House.,Donald Trump,Arizona,1,0,0,0
"If you're a Republican, there would have to be a crazy deviation that we haven't seen in over two decades for it to signal a Harris victory because if she wins the popular vote by a point, she's not winning the electoral college even with the recent shifts we're going to that we've seen in New York and possibly Illinois and California and Florida and all of those states are getting more conservative.",Kamala Harris,Pennsylvania,0,1,0,-1
Everything he says out of his mouth is just negative.,Donald Trump,Arizona,1,-1,-1,-1
Trump says he can he can pay for tax cuts and he can pay for all of this by increasing tariffs.,Donald Trump,Arizona,-1,0,0,0
"Well, a different country, a different time, what we heard at that rally should be enough to shake folks awake because he's talking about you.",Donald Trump,Arizona,-1,1,-1,0
"But you look at Arizona, Donald Trump, it's his best state in the polling in terms of these swing states.",Donald Trump,Arizona,1,1,1,1
"And I think the data and evidence that we're seeing is that if you went into that thinking I'm a Harris supporter, you're still a Harris supporter.",Kamala Harris,Michigan,1,1,1,1
"So take with that what you will, that the only person who has been able to handle the border correctly is Donald Trump.",Donald Trump,Arizona,1,0,1,0
"They want to be here, and then quite candidly, Donald Trump, he's driving people to the middle, people like myself that have been longtime Republicans, appointed a judge by two Republican governors, different, you know, the Superior Court and the Court of Appeals, that his positions on this election denial, where it has foundational drive people to the center.",Donald Trump,Arizona,1,1,1,1
Donald Trump is in the lead in Pennsylvania.,Donald Trump,Pennsylvania,1,0,0,0
"But the Trump campaign is calling it, quote, a love fest.",Donald Trump,Pennsylvania,0,1,0,0
And this time his plan is a 20% national sales tax on everything you buy that is imported.,Donald Trump,Arizona,-1,0,-1,0
"NBC reports, Harris appears to be okay with the collective jitters, recognizing that if Democrats fear they might lose, they're more apt to show up at the polls and help her win.",Kamala Harris,Michigan,1,1,1,0
Harris honored the late Republican Senator John McCain of Arizona.,Kamala Harris,Arizona,-1,1,1,1
She's going to lower the cost of prescription drugs.,Kamala Harris,Arizona,1,1,1,1
41% say that they plan to vote for Kamala Harris.,Kamala Harris,Michigan,0,0,0,0
"Candidate Favorability Trump, despite his high-profile legal challenges, retained strong favorability among the Republican base.",Donald Trump,Arizona,1,1,1,1
"Well, the Harris campaign quickly turning the former president's remarks into campaign ads.",Kamala Harris,Michigan,-1,1,-1,0
We have a chance with Harris.,Kamala Harris,Michigan,1,1,1,1
"Arizona has been a hotbed of activity, most of it negative about the cling to power by Donald Trump.",Donald Trump,Arizona,-1,-1,-1,-1
"Okay, so what are you and just FYI Politico did a pair of articles saying that the suburbs, that's the whole deal for her that the pointing out the latest Wall Street Journal poll found Harris leading among suburban voters by seven percentage points.",Kamala Harris,Michigan,1,1,1,1
"She needs to continue to articulate her vision for the country and connect with voters on a personal level, addressing their concerns and aspirations.",Kamala Harris,Pennsylvania,0,1,0,0
"Even though Kamala Harris is set to visit the border this Friday, I don't think it's going to have a huge impact on the state of Arizona.",Kamala Harris,Arizona,-1,1,-1,-1
"Yeah, Trump will be at 270, you only need 270 to win, but you'd like to have Arizona.",Donald Trump,Arizona,1,0,0,1
They had lots of President Trump flags.,Donald Trump,Arizona,1,0,1,1
President Trump has listened to black men and delivered real results.,Donald Trump,Michigan,1,0,1,1
"And so he has earned the respect, he has a record, for which we can be proud of.",Donald Trump,Michigan,1,1,1,1
"In 2016, Donald Trump became the first Republican to win Michigan in 28 years.",Donald Trump,Michigan,1,1,1,1
"And by the way, I'm not going to charge up that 50 million dollars to Harris jumping into the lead for the Democratic nomination.",Kamala Harris,Arizona,1,0,0,0
"More likely than not, all the top experts have come together and said Trump probably two and a half point victory in Michigan, probably about a two point victory in Wisconsin and like a three point two victory in Pennsylvania with the Elon Musk factor and everything and all the free speech and all the threats and all the assault against Trump and the assassination attempt and all it all comes together in Pennsylvania.",Donald Trump,Michigan,1,-1,1,1
Is there a difference: she hasn't shown that when they ask her about Joe Biden and how she would be different.,Kamala Harris,Michigan,-1,0,-1,-1
"Voters said they trusted him, trusted Trump on taxes, on housing, on all these issues.",Donald Trump,Pennsylvania,0,1,0,1
"The other thing I think she's offering people is respect, you know, I mean, I think the fact that she's going to Charlamagne to ask for black men's votes, the fact that she's going to Joe Rogan's audience to say, Hey, you may not be naturally my supporters, but I want to ask for your vote.",Kamala Harris,Michigan,1,1,1,0
On issue after issue Kamala broke it but I will fix it.,Kamala Harris,Michigan,-1,-1,-1,-1
I think Trump is not a politician.,Donald Trump,Michigan,1,0,1,0
People just don't feel like Bidenomics is working for them at this point and Kamala Harris has been a big part of that.,Kamala Harris,Michigan,-1,-1,-1,-1
Trump bookend his remarks by saying that he would revert the name of Fort Liberty to Fort Bragg.,Donald Trump,Arizona,0,0,0,0
"Trump's slim lead indicates Michigan is just as tightly contested as Georgia, with both candidates fiercely competing for voter support.",Donald Trump,Michigan,0,1,0,1
"In 2022, Trump allies and the Arizona Republican Party attempted to steal Arizona's electoral votes by certifying a false slate of electors.",Donald Trump,Arizona,-1,-1,-1,-1
"And it's true, when you look at the Hispanic vote, for example, if Republicans do get like a five point improvement, which they can Arizona, it's already Trump's.",Donald Trump,Arizona,1,1,1,1
"So there's no real clear leader with independents, but numerically, Harris has this slight higher number there.",Kamala Harris,Michigan,1,1,1,0
So that certainly benefits Donald Trump and would lead to a likely electoral college win for Trump and a popular vote defeat.,Donald Trump,Michigan,1,1,1,-1
"But yeah, I mean, Donald Trump is incredibly ignorant when it comes to manufacturing.",Donald Trump,Michigan,-1,-1,-1,-1
