Sentence,Presidential_Candidate,State,Vote_1,Vote_2,Final_Sent
"All other groups, voters of color at 28 percent, so this is something that we've seen throughout the board, right, which is that Donald Trump is making huge gains with groups that make up a smaller percentage of the electorate while he's losing a little bit.",Donald Trump,Michigan,1,1,1
But these groups that he's losing a little bit of make up a much larger portion of the electorate.,Donald Trump,Michigan,-1,-1,-1
Donald Trump won him by 25.,Donald Trump,Michigan,1,1,1
Donald Trump winning him by 22.,Donald Trump,Michigan,1,1,1
"Again, Trump is ahead, but his margins are smaller.",Donald Trump,Michigan,1,0,1
"And when you have a shrinking margin for Donald Trump among his core group that makes up the majority of voters, it can make up for big shifts among smaller groups of the electorate.",Donald Trump,Michigan,0,0,0
"Was Donald Trump's 39 minute spontaneous dance party the closest we are getting to an October surprise: as both campaigns enter the home stretch, there will be no big final debate.",Donald Trump,Michigan,0,1,0
He's nearly 80 years old.,Donald Trump,Michigan,-1,0,-1
"He's out there rambling, moving around, we'll give him a break.",Donald Trump,Michigan,-1,0,-1
"Quote, Trump suddenly seems not just lazy, weak by dodging another debate, for instance, and old, but also truly out of it.",Donald Trump,Michigan,-1,1,-1
"You know, he's still Trump, but he's you know, he's hanging out with McDonald's with real people, talking about stuff that real people like that.",Donald Trump,Michigan,1,1,1
"So just sort of counter to my own narrative, there's a reality out there that there are huge numbers of young men turning out for Trump and these Charlie Kirk campus rallies.",Donald Trump,Michigan,1,1,1
"They don't normally turn out, and I just don't think if they if they're not excited about Donald Trump before I don't know why they would be now.",Donald Trump,Michigan,-1,-1,-1
"I think that Donald Trump would be a total disaster for our nation, and I cannot vote for him.",Donald Trump,Michigan,-1,-1,-1
So what's at stake for women if Donald Trump is our president: i think it's bad news for women.,Donald Trump,Michigan,-1,-1,-1
"Mr. Mayor, as you've seen amid all the discontent, the frustration with the Biden administration's policy in Israel and towards Gaza, we've seen the Trump team conducting a lot of outreach in Michigan.",Donald Trump,Michigan,1,-1,1
"I can tell you that nobody who I have spoken with, even some of the conservative constituents that I represent, have also expressed great disdain for the Trump Vance ticket, because they understand what a Trump presidency represents.",Donald Trump,Michigan,-1,1,-1
"And so we very much understand what Trump represents as a president, and that is not something anybody wants to see this November.",Donald Trump,Michigan,-1,0,-1
"And if we go back to 2020, we see that Trump won that county 66%, total votes 85,123.",Donald Trump,Michigan,1,1,1
"And if we go back to 2020, Trump won this county 69% and total votes 99,585.",Donald Trump,Michigan,1,1,1
"If we go back to 2020, we see that Trump won that county by 71%, total votes 64,183.",Donald Trump,Michigan,1,1,1
"If we go back to 2020, we see that Trump won that county by 56%, total number there, 41,540.",Donald Trump,Michigan,1,1,1
"And if we go back to 2020, we see that Trump won by 67%, with a total number of 51,501 votes.",Donald Trump,Michigan,1,1,1
"If we go back to 2020, we see that Trump won that county by 53%, and total votes 37,956.",Donald Trump,Michigan,1,1,1
"If we go back to 2020, we see that Trump won that county by 62%, total votes 50,013.",Donald Trump,Michigan,1,1,1
"And Donald Trump's message about faith, family, and freedom, growing our economy, securing our borders, addressing skyrocketing inflation, these are the messages that are resounding with voters.",Donald Trump,Michigan,1,1,1
It's pretty hard to argue his record isn't one and one.,Donald Trump,Michigan,1,1,1
"Vance and Trump will let Michigan manufacturing's plants close, just like Trump did.",Donald Trump,Michigan,-1,1,-1
They're gonna send us backwards.,Donald Trump,Michigan,-1,0,-1
"We can't go back, going back means cutting $500 million from the Lansing Grand River plant.",Donald Trump,Michigan,-1,1,-1
Don't let Trump and Vance throw it away.,Donald Trump,Michigan,-1,0,-1
I think yesterday broke the spell that so many people had about Donald Trump.,Donald Trump,Michigan,-1,-1,-1
"Clearly his actions led to that, you know, what we, there's no great way to describe what happened yesterday, sedition.",Donald Trump,Michigan,-1,1,-1
You even said that he was clearly responsible for the acts of January 6th.,Donald Trump,Michigan,-1,1,-1
"But do you stand by any of the criticism that you had after 2020: Even Donald Trump said I was tough, but fair.",Donald Trump,Michigan,1,-1,1
"As Trump was in Detroit earlier this month, he leveled this insult.",Donald Trump,Michigan,-1,-1,-1
"$38,000 in median wage in Detroit, $68,000 out state, he said that the rest of the country would look like Detroit.",Donald Trump,Michigan,-1,1,-1
"You know, the Arab and Muslim community knows very well what a Trump presidency looks like.",Donald Trump,Michigan,-1,1,-1
He is a threat to our country.,Donald Trump,Michigan,-1,-1,-1
He's a threat to our democracy.,Donald Trump,Michigan,-1,-1,-1
"I think he's not just a disaster for Arab-Americans, but he's also a disaster for all Americans.",Donald Trump,Michigan,-1,-1,-1
"Ali's family history is deeply tied to Michigan's labor unions, which are known for having a significant influence on the outcome of elections.",Donald Trump,Michigan,0,1,0
"And at the same time, I think Donald Trump would be disastrous for our country.",Donald Trump,Michigan,-1,-1,-1
He only decided to take this job once he found out Trump was going to be president.,Donald Trump,Michigan,0,0,0
But you think they should support Trump more than they even have.,Donald Trump,Michigan,0,1,1
"Trump had a noticeable lead at the end of July, with margins ranging from 7% to 9%.",Donald Trump,Michigan,1,0,1
"Interestingly, Robert F. Kennedy Jr.'s endorsement of Trump doesn't seem to have significantly boosted Trump's standing in Michigan.",Donald Trump,Michigan,-1,1,-1
But now six of those eight forecasts show Trump slightly favored to win.,Donald Trump,Michigan,1,1,1
"How much of this is about winning over Trump supporters: you could vote for Trump, but also vote for a Democrat at the Senate level.",Donald Trump,Michigan,0,1,0
"And you know, Donald Trump, he's been essentially running for president for 10 years.",Donald Trump,Michigan,0,0,0
So it looks like Trump will have the best performance with black voters since 1960.,Donald Trump,Michigan,1,1,1
"Right now, Trump might get 50%.",Donald Trump,Michigan,1,0,0
He's right now pulling at close to 50% of the Hispanic vote.,Donald Trump,Michigan,1,0,0
"Despite the fact that media, the media business continuously trying to call him his anti-Hispanic, right? That's all they do.",Donald Trump,Michigan,-1,0,-1
He hates immigrants.,Donald Trump,Michigan,-1,-1,-1
He hates Hispanics.,Donald Trump,Michigan,-1,-1,-1
And that's why he might win close to 50% of the Hispanic vote.,Donald Trump,Michigan,1,1,1
"But right now, it is possible that Trump is gonna win 25% of the black vote.",Donald Trump,Michigan,1,1,1
They push this notion that maybe Trump is like this bad guy and stuff.,Donald Trump,Michigan,-1,-1,-1
"And he could very well just be like a bad guy, but I'd be lying if, you know, like numbers don't lie.",Donald Trump,Michigan,1,-1,-1
"He's done a lot for, you know, like us, you know, under his administration.",Donald Trump,Michigan,1,1,1
I think Trump's gonna win this election.,Donald Trump,Michigan,1,1,1
"I don't see this turning around anytime soon, unless there's some kind of massive mistake that he makes, which is always possible.",Donald Trump,Michigan,1,-1,1
I think Trump's gonna win.,Donald Trump,Michigan,1,1,1
But Donald Trump has been here multiple times.,Donald Trump,Michigan,0,0,0
"You keep trying to talk to people, have them understand that this is that Donald Trump.",Donald Trump,Michigan,0,0,0
One of the first things he did is to try to do a Muslim ban.,Donald Trump,Michigan,-1,-1,-1
He talks about incarceration camps.,Donald Trump,Michigan,-1,0,-1
"Donald Trump, defying all expectations and predictions, managed to flip them red, securing a crucial victory.",Donald Trump,Michigan,1,1,1
"Trump's presidency, marked by controversy and division, has left the country deeply polarized.",Donald Trump,Michigan,-1,0,-1
"His supporters see him as a disruptor, a fighter for the forgotten man.",Donald Trump,Michigan,1,1,1
His detractors view him as a threat to democratic norms and institutions.,Donald Trump,Michigan,-1,-1,-1
Republican voters are increasingly expressing their concerns about Trump's leadership.,Donald Trump,Michigan,-1,0,-1
"This discontent is a powerful force, and it has the potential to swing the election against Trump.",Donald Trump,Michigan,-1,1,-1
"Section 11, the Long Game The 2024 election is more than just a referendum on Donald Trump, it's a battle for the future of the Republican Party.",Donald Trump,Michigan,1,0,1
They believe that Trump's brand of politics is unsustainable and ultimately damaging to the party's long-term prospects.,Donald Trump,Michigan,-1,-1,-1
"If Trump wins, it will embolden his wing of the party.",Donald Trump,Michigan,1,1,1
"Donald Trump lost the electoral college by an aggregate of somewhere between 45 and 60,000 votes last time.",Donald Trump,Michigan,-1,-1,-1
He was able to flip some of those states red.,Donald Trump,Michigan,1,0,1
"Look, I'm not sure that this is Trump necessarily going hugely outside of his base.",Donald Trump,Michigan,0,-1,0
"But with Trump, it became so much more difficult to find compromise across the aisle and solve problems for our constituents.",Donald Trump,Michigan,-1,-1,-1
"Our work should be based on civility and good government, not the nasty attacks and hateful rhetoric that Trump represents.",Donald Trump,Michigan,-1,1,-1
"Trump has said that his actions on that day, jeopardizing the peaceful transfer of power, were totally appropriate.",Donald Trump,Michigan,-1,1,-1
"His words, totally appropriate, and he's been sowing doubt for months about the integrity of this upcoming election.",Donald Trump,Michigan,-1,0,-1
"If he loses, he'll spread another big lie.",Donald Trump,Michigan,-1,-1,-1
Trump and his Madison Square Garden rally where the ugly comments are still reverberating.,Donald Trump,Michigan,-1,-1,-1
"And we've got we're doing really, you know, for Republicans, Donald Trump is doing pretty well with the black vote across the state.",Donald Trump,Michigan,1,1,1
"And that's down, and I think Donald Trump is going to benefit from that.",Donald Trump,Michigan,1,1,1
And I think they see Donald Trump Trump fighting for their jobs.,Donald Trump,Michigan,1,-1,1
We're going to carry Michigan for Trump.,Donald Trump,Michigan,1,0,1
We're going to carry the top of the ticket with Trump and with Mike Rogers.,Donald Trump,Michigan,1,1,1
Nobody says Trump's a bad guy more than I do.,Donald Trump,Michigan,-1,-1,-1
We got a whole Trump brackets.com about all the terrible things that he did.,Donald Trump,Michigan,-1,-1,-1
"Maybe it'll fluctuate back before that, i don't know what's going to happen in that regard, but then boom, now, uh, last set of polls coming in Trafalgar Trump plus two, miRS mi news source, Trump plus one, Quinnipiac very credible, very legitimate plus four for Trump.",Donald Trump,Michigan,1,0,1
"Okay, so my point is if Trump loses, it's going to get dragged out for a long time because he hates losing and he doesn't like to admit it, et cetera.",Donald Trump,Michigan,-1,-1,-1
It's average of polls is just plus 0.6.,Donald Trump,Michigan,0,0,0
"She took a brief lead there, but now last three polls, plus three Trump, plus one Trump, plus two Trump, overall plus 1.4 Trump.",Donald Trump,Michigan,1,0,1
"So, um, look, as a person who does not want Donald Trump to win this election, who's very worried about it, I'm going to do everything I can.",Donald Trump,Michigan,-1,1,-1
"Okay, so, uh, look guys, last couple of things as we're, uh, you know, if you don't want Trump to win, do everything you can to, to make that happen, go canvas, do phone making like today we did phone banking.",Donald Trump,Michigan,-1,1,-1
"I know it's hard to convince Trump people, but remember right now you're not trying to convince Maga.",Donald Trump,Michigan,-1,1,-1
The only garbage I see floating out there is his supporters.,Donald Trump,Michigan,-1,-1,-1
"His demonization was seen as an unconscionable, the White House says that was directed to a supporters joke about Puerto Rico.",Donald Trump,Michigan,-1,-1,-1
President Trump has listened to black men and delivered real results.,Donald Trump,Michigan,1,0,1
"You have folks from Palestine, you have Lebanese folks, and it was reported today that Tiffany Trump's father-in-law, a prominent Lebanese businessman, has been advocating for Trump in Michigan as well, which could be stirring the numbers.",Donald Trump,Michigan,1,1,1
I don't remember anything about Donald Trump prior to his political candidacy.,Donald Trump,Michigan,-1,0,-1
My feelings were mostly anxiety about the potential of Donald Trump being elected.,Donald Trump,Michigan,-1,-1,-1
"It was a put a lot on Trump, but it wasn't even like his fault.",Donald Trump,Michigan,0,-1,0
"I know Trump will leave it up to the states, which I think is fine.",Donald Trump,Michigan,0,1,0
There has never been an individual who is a greater threat to our Republic than Donald Trump.,Donald Trump,Michigan,-1,-1,-1
Donald Trump won.,Donald Trump,Michigan,1,1,1
Michigan Congressman Peter Meyer voted to impeach Trump after the capital attack this week.,Donald Trump,Michigan,-1,-1,-1
But there is a lot of efforts being taken sort of below Donald Trump at the actual sort of state party level and sort of the campaign machinery is really trying to promote it.,Donald Trump,Michigan,0,1,1
Politico reports part of the reason could be gains Trump has made with black men.,Donald Trump,Michigan,1,1,1
"One man said his friends described Trump as funny, entertaining, brave.",Donald Trump,Michigan,1,1,1
He said he's impressed by Trump's business experience.,Donald Trump,Michigan,1,1,1
It's not that black men are significantly shifting to Donald Trump.,Donald Trump,Michigan,0,0,0
"Maybe the way to do that is to make sure that people understand the stakes, that there's a very real chance that Donald Trump is president again very soon.",Donald Trump,Michigan,1,1,1
"This past week, Donald Trump gave a speech in Potterville, Michigan, and during the speech, he said that as he was driving up to this small venue in Potterville, there were thousands and thousands of people outside as far as the eye could see that were there as he was driving up.",Donald Trump,Michigan,1,0,1
"It turns out, like everything he says, this is totally false.",Donald Trump,Michigan,-1,-1,-1
They got their hands on footage of the moment Donald Trump was driving up to this venue where he gave this unhinged and very bizarre speech.,Donald Trump,Michigan,-1,-1,-1
"And guess what, there were not thousands and thousands of people as far as the eye can see as he was driving up.",Donald Trump,Michigan,-1,0,-1
"So surprise, surprise, he's lying.",Donald Trump,Michigan,-1,-1,-1
"Now, so what Donald Trump does at all of these, all of these events, he always lies about the crowd sizes.",Donald Trump,Michigan,-1,-1,-1
"And there's quite literally nobody there, he'll leave one of the buildings that he has his name on and he'll wave.",Donald Trump,Michigan,-1,-1,-1
"Meanwhile, Donald Trump gives himself fake AI endorsements of Swifties and Taylor Swift.",Donald Trump,Michigan,-1,-1,-1
We're not endorsing him and Donald Trump continues to do stunts like that.,Donald Trump,Michigan,-1,-1,-1
"Yeah, and look all Donald Trump does his lie and lie about crowd sizes.",Donald Trump,Michigan,-1,-1,-1
Donald Trump is not losing sleep over that question.,Donald Trump,Michigan,0,1,0
Here's a 78 year old billionaire who has not stopped whining about his problems since he wrote down his golden escalator nine years ago.,Donald Trump,Michigan,-1,-1,-1
It has been a constant stream of gripes and grievances that that's actually been getting worse now that he's afraid of losing the common.,Donald Trump,Michigan,-1,-1,-1
"He claimed there were 25,000 people.",Donald Trump,Michigan,0,0,0
And this is how Trump was showing that he was having black support.,Donald Trump,Michigan,1,1,1
"But over and over again, this is what Trump does, you know, he'll go into a black church, fill it with white MAGA supporters and claim he's speaking at a black church.",Donald Trump,Michigan,-1,1,-1
"You know, he's always just bragging about these crowd sizes.",Donald Trump,Michigan,-1,0,-1
"And that's what's really getting under Donald Trump's skin right now is that, you know, she's filling up stadiums that are bigger than his.",Donald Trump,Michigan,-1,0,-1
"Here's what he talked about, billions of dollars, you know, somebody said, what do you think he lost: i said, probably two, three billion.",Donald Trump,Michigan,-1,-1,-1
"And, you know, if you want to see who these Trump supporters are, I mean, they're out there holding sperm cups of JD vans.",Donald Trump,Michigan,-1,1,-1
"They're trying to say that JD vans, this is like the Trump and JD van supporters saying how fertile he is by holding family kit cups and as part of their opposition to IVF.",Donald Trump,Michigan,-1,1,-1
You've got these Trump supporters who are out there wearing diapers and saying diapers over Dems.,Donald Trump,Michigan,-1,-1,-1
"They're wearing shirts that say, I'm with the convicted felon.",Donald Trump,Michigan,-1,-1,-1
What would happen now on this number from 219 compared to her 225: that would take him to 229.,Donald Trump,Michigan,1,1,1
Maybe the Arab American vote maybe the union vote does have an effect on Trump's number in Michigan.,Donald Trump,Michigan,0,1,0
If that's if their boat is rising then Trump's boat must be rising as well.,Donald Trump,Michigan,1,1,1
"I mean, you know, we saw January 6th, we saw, you know, Trump just gradually eroding things away over the course of his term.",Donald Trump,Michigan,-1,0,-1
And now he's admitting it flat out.,Donald Trump,Michigan,-1,0,-1
Why are you voting for Donald Trump: it really just boils down to policy.,Donald Trump,Michigan,1,0,1
I don't think that we'd have the situation Ukraine that we have right now if Trump was president.,Donald Trump,Michigan,1,0,1
"How does that make sense, how does that make sense to the average American that is working and trying to earn a living for their family? So for us like economically it makes absolutely no sense why we would continue the same path for these four years. It's big news that Trump has united the Muslims and the Jews the Arabs are behind him big time. It has to do with the war and the fact that she doesn't know what the hell she's doing and hasn't accomplished anything. And the Democrat family values are just crazy The ultra woke Democrat ideology.",Donald Trump,Michigan,1,-1,1
"When Trump renegotiated NAFTA in 2016, production increased from 63% to 75%, a 13% rise, which translated into a 13% boost in employment and millions of jobs. When people talk about policies, we know which ones directly benefit us. We’re not political clowns blindly supporting anyone; Trump is the first open candidate I have ever openly supported. People running for local offices like council or mayor have never gotten my support because I don’t just support candidates—my vote and voice mean something. When we see President Trump, we see a strong man. Growing up in single-mother households means we often lack a clear focus on what strong leadership looks like, but when we see it, we recognize it. For many of us, Trump embodies that strength.",Donald Trump,Michigan,1,1,1
He care about detroit care about blacks.,Donald Trump,Michigan,1,1,1
He got his ways.,Donald Trump,Michigan,1,0,1
They don't want to come out there I'll tell you why media did a wonderful job of making showing Trump as a villain and that's what majority of the people they fed up with it. But they don't want to come out because they're afraid of being attacked and that's what the situation so I don't believe hopes I can tell you right now.,Donald Trump,Michigan,-1,-1,-1
So how does that make any sense? So that's why there's gonna be a tremendous amount of support? Regardless of the fear tactics that the other side uses there's going to be a tremendous amount of support for Donald Trump and we're gonna bring him back to the White House inshaAllah.,Donald Trump,Michigan,1,1,1
This is the reason why I support and I endorse President Trump because we're going to stop the wars.,Donald Trump,Michigan,1,1,1
Donald Trump created an environment that was not good for us.,Donald Trump,Michigan,-1,-1,-1
"The majority of this community, over Donald Trump, somebody say hello and give a good one.",Donald Trump,Michigan,1,1,1
So one of the most democratic pollsters you can get is showing a Trump plus four in the state of Michigan.,Donald Trump,Michigan,1,0,1
But it is really crazy that Michigan officially leads for Trump by a point five margin in the average.,Donald Trump,Michigan,1,1,1
But in Wisconsin they did a Trump plus two and Michigan they did a Trump plus three.,Donald Trump,Michigan,1,0,1
"Georgia Ty, Michigan Trump plus three which is very odd.",Donald Trump,Michigan,1,0,1
"So if all of that is real, which I don't think any of it's really realistic, but if the races are that close that means more of a Trump lead than anything because Trump is always under polled.",Donald Trump,Michigan,1,0,1
"Michigan is very odd as well, but I mean Quinnipiac did come out with a Trump plus three.",Donald Trump,Michigan,1,0,1
"And to show you right here, so Trump leads point five in Michigan.",Donald Trump,Michigan,1,0,1
He leads point two.,Donald Trump,Michigan,1,0,1
He has Michigan if you see Michigan and then you look at Wisconsin here.,Donald Trump,Michigan,1,0,1
"Let's just say he wins Michigan, he wins the election.",Donald Trump,Michigan,1,1,1
If he just wins one of these three states and if he's leading in two of those states which remember Michigan is the more left leaning state out of them.,Donald Trump,Michigan,0,1,0
"You never know, Trump could have a landslide victory if everything gets put into place.",Donald Trump,Michigan,1,0,1
I believe he also gets close to winning the popular vote.,Donald Trump,Michigan,1,1,1
I'm not sure if he'd won the popular vote but it's possible.,Donald Trump,Michigan,1,1,1
So but then based on like margins of like error and like Trump underperforming I mean overperforming polls you have kind of like this scenario.,Donald Trump,Michigan,0,1,0
So it just shows that Trump is making gains.,Donald Trump,Michigan,1,1,1
I would have never thought by Election Day that Trump would have been leading in the average in Michigan.,Donald Trump,Michigan,1,0,0
"But I bet it is still crazy to think that Trump is in the lead in a state like Michigan, Michigan a state that just votes almost straight liberal.",Donald Trump,Michigan,1,1,1
But just to tell you guys I just want to show you like the gains Trump's been making Michigan actually leading for Trump in the actual average.,Donald Trump,Michigan,1,1,1
Donald Trump has a rally in Detroit just about a block away from here.,Donald Trump,Michigan,0,-1,0
"You know you talked about mobilization just a moment ago, but in terms of like politics of issues, is there anything, and let's talk about both candidates starting with Trump, that they have to really nail in terms of the Michigan voters: this has been an absolute consistency in this campaign.",Donald Trump,Michigan,1,1,1
"Donald Trump is focusing on two issues here in Michigan, the economy and immigration.",Donald Trump,Michigan,1,0,0
"There was a string of Democratic presidential victories here in Michigan between 1992, right until 2016 when Trump flipped it.",Donald Trump,Michigan,1,0,1
"He has come to Michigan and talked quite a bit about electric vehicles, electrification in general.",Donald Trump,Michigan,0,0,0
Right now the real clear politics average has Trump up one.,Donald Trump,Michigan,1,1,1
That's an eight to 12 point shift to Donald Trump.,Donald Trump,Michigan,1,0,1
"They say to you, hey, my financial situation under former President Donald Trump a few years ago was better than it is now.",Donald Trump,Michigan,1,1,1
"What do you say to them: i start by reminding them that the economy that President Trump inherited was actually Barack Obama's economy, and he shepherded that economy right into a crisis.",Donald Trump,Michigan,-1,-1,-1
"When you're talking to those voters, what do you say to that constituency: we talk a lot about the truth of who Donald Trump is.",Donald Trump,Michigan,0,1,0
"Trump's slim lead indicates Michigan is just as tightly contested as Georgia, with both candidates fiercely competing for voter support.",Donald Trump,Michigan,0,1,0
"Now I say all this to again, warn Republican voters and Trump voters, uh, not to be complacent and not to think that this election, uh, is one before even a single vote is cast because we need to act like that this race is tightening.",Donald Trump,Michigan,0,1,0
"Uh, but again, this, this is horrible right here and to happen in Michigan of all places, this is good for Trump and it's good for, uh, undecided voters who maybe are leaning more towards Trump when they see stuff like this, but Democrats continue to shoot themselves in the foot.",Donald Trump,Michigan,1,1,1
"And obviously, I really don't think that Trump is going to protect people who are part of the LGBT community, especially those who are trans.",Donald Trump,Michigan,-1,-1,-1
We were working on a video about how there's been a huge groundswell of support for Donald Trump right here in Michigan.,Donald Trump,Michigan,1,1,1
Do you think Trump doesn't want women to vote: i'm not saying Trump.,Donald Trump,Michigan,-1,-1,-1
"And anybody but a felon, anybody what: but a felon, but a felon: okay, anybody but Trump, what do you hate about Trump the most: his rhetoric.",Donald Trump,Michigan,-1,-1,-1
"He's nasty, he's, he's degrading.",Donald Trump,Michigan,-1,-1,-1
He's a very hateful man.,Donald Trump,Michigan,-1,-1,-1
And he's going to ruin our country.,Donald Trump,Michigan,-1,-1,-1
He already has divided our country with his first term.,Donald Trump,Michigan,-1,0,-1
"What did he lie about, what has he lied about: it's the simpler question to answer, and that's maybe his name and his age, and that's about it.",Donald Trump,Michigan,-1,-1,-1
"He ran on a lot of resentment, like you said, false information.",Donald Trump,Michigan,-1,-1,-1
"He's bad because a lot of people, right: a lot of people are like, I just don't like him.",Donald Trump,Michigan,-1,1,-1
But the reason why they don't like him is because of the premise that he comes.,Donald Trump,Michigan,-1,-1,-1
"He ran up under resentment, no offense, but he really did.",Donald Trump,Michigan,-1,-1,-1
"I just think with him, you think she's got it all all together.",Donald Trump,Michigan,0,0,0
"What is it about Trump that you do not like: he's unhinged, and he doesn't care about people at all.",Donald Trump,Michigan,-1,-1,-1
He turned that into more of a disaster than it would have been under better leadership.,Donald Trump,Michigan,-1,-1,-1
"And to see what they're still going through after the hurricanes and to know under Trump's presidency, he was trying to deny them any help because he said that they weren't our problem.",Donald Trump,Michigan,-1,-1,-1
"So that lady basically said, what did Trump do wrong: and she said, well, Covid, you messed up Covid.",Donald Trump,Michigan,-1,-1,-1
"So that opinion is new, all he knows is Project 2025.",Donald Trump,Michigan,-1,0,-1
"I'm not saying he's not smart. He's smart, but he also doesn't think women should have the rights.",Donald Trump,Michigan,-1,-1,-1
"And that goes along with, you know, the... the two billionaires that are supporting him, the fool who sent him... Peter... Peter Tule.",Donald Trump,Michigan,-1,0,-1
"I mean, this guy is really dangerous because he said women should not be voting.",Donald Trump,Michigan,-1,-1,-1
"And Donald Trump is plus six, equally 51% to 45% with men.",Donald Trump,Michigan,1,0,0
Trump's still doing his best on immigration.,Donald Trump,Michigan,1,1,1
"But that abortion and reproductive rights number, that's one of the reasons Donald Trump is not yet running away with this race.",Donald Trump,Michigan,-1,-1,-1
"The question Trump's pledge to go after enemies if elected, reason to vote against him, 50%, doesn't make a difference, 26, reason to vote for him, 24.",Donald Trump,Michigan,-1,-1,-1
"But Donald Trump's behavior is clearly another part of this equation, as are his criminal convictions.",Donald Trump,Michigan,-1,-1,-1
"But the total, and he's more popular than ever, all those things are true, but they are still weights around him because I think without them, Donald Trump may be running away with it.",Donald Trump,Michigan,-1,1,1
"Donald Trump has done really well in in in Macomb County, the northern suburb of Detroit that's more more blue collar for his auto industry message is really honed in on his railing against electric vehicles.",Donald Trump,Michigan,1,1,1
"And to that point, one of Donald Trump's biggest supporters in the African American community is former Detroit Mayor Kwame Kilpatrick, who he essentially sprung from prison on his last day in office by commuting his sentence for his for his 20 years in the city hall, and Kilpatrick is out working various networks he's he's done radio ads for Trump that are on black radio stations.",Donald Trump,Michigan,1,0,1
"And the other thing that Trump is trying to do is he's trying to, he's trying to take advantage of the downright crisis the democrats have with their Arab American constituency.",Donald Trump,Michigan,0,-1,0
"If you look at 2016 Donald Trump won the state by 10,704 votes.",Donald Trump,Michigan,1,1,1
Donald Trump recently made negative comments about Detroit calling it just horrible claiming that the city's never fully come back.,Donald Trump,Michigan,-1,-1,-1
It may sway some of those people on the margins who have previously been a little conservative but not loved the Trump presidency.,Donald Trump,Michigan,1,-1,1
