Sentences,Presidential_Candidate,State,Vote_1,Vote_2,Final_Sent
"Arizona has been a hotbed of activity, most of it negative about the cling to power by Donald Trump.",Donald Trump,Arizona,-1,-1,-1
"They found that there wasn't even any, we had Rusty Bowers, the Speaker of the House of Arizona, pressured by both Donald Trump and Rudy Giuliani, one now indicted Rudy Giuliani, one an unindicted co-conspirator.",Donald Trump,Arizona,1,-1,-1
"When I'm done, I want to get your view on why Trump was left out of this party that's been arranged.",Donald Trump,Arizona,-1,1,-1
He sits at counsel table with Donald Trump and all of his criminal trials.,Donald Trump,Arizona,-1,-1,-1
Lawyers quit Donald Trump defense because of his meddling.,Donald Trump,Arizona,-1,1,-1
"You know, if I'm thinking, why was Trump an unindicted co-conspirator at this stage: my view is just time will tell if he goes from unindicted to indicted.",Donald Trump,Arizona,-1,0,-1
I think that this is an approach to put pressure on some of the other indicted co-conspirators now to actually flip on Donald Trump.,Donald Trump,Arizona,1,-1,-1
So I think tactically you don't include him here yet.,Donald Trump,Arizona,0,0,0
And why in Arizona give any excuse for any of those other ones to be delayed if Donald Trump tries to use Arizona as a delay tactic for some of the other cases where he can be brought to justice.,Donald Trump,Arizona,-1,1,-1
So Donald Trump is not just not out of the danger zone yet.,Donald Trump,Arizona,-1,-1,-1
He is close to the danger zone.,Donald Trump,Arizona,-1,-1,-1
"Michael Popak, you, I, Dean Adal and our legal team here at the Midas Touch Network and Legal AF will be covering the oral arguments before the United States Supreme Court, where Trump is claiming that he has absolute immunity to order SEAL Team Six to kill his political opponents.",Donald Trump,Arizona,-1,0,-1
Donald Trump would be a disaster not only for students not only for young people But all Arizonans who care about the future listen to this listen to this His project 2025 agenda includes pants plans to ban abortion nationwide.,Donald Trump,Arizona,-1,-1,-1
We can't have that he wants to gut Social Security and Medicare we can't have that An economist agree his plans would cost Arizona families four thousand dollars a year.,Donald Trump,Arizona,-1,1,-1
"He's got the Trump Bible Wants you to buy the Word of God Donald Trump edition Donald Trump edition his name is gonna be on there embossed right now right right next to the Luke and Mark and Matthew right And by the way, I will give you one guess you could not make this stuff up where these Bibles are made So Mr. Tough guy on China except when he can make a few bucks Hawken his Trump edition Bibles.",Donald Trump,Arizona,-1,1,-1
 Imagine it coming from a guy who wants to be given unchecked power Tucson we do not need to see what an older Lunar Donald Trump looks like with no guardrails. We have had enough of arrogance and bumbling and bluster and division America's ready to turn the page.,Donald Trump,Arizona,-1,-1,-1
So I want to talk a little bit about that I do not think we've ever had an election with candidates who understand freedom so differently. For Donald Trump and his cronies freedom means that the powerful can do whatever they please that's his definition of freedom of freedom.,Donald Trump,Arizona,-1,1,-1
He tells women he'll be their quote protector.,Donald Trump,Arizona,1,0,1
"I still like him then you then I think you have to then say yeah, but what about character, what about values? Because that matters it's not just policies are on the ballot. Don't vote for somebody who does not respect you. Don't vote for somebody Who makes fun of people because they're not like them. Don't pray on people who are weaker than you it's about values.",Donald Trump,Arizona,1,0,0
"There are some Republicans who think this thing has to burn to the ground and a new party has to emerge and others who think that if Donald Trump loses, they can try to reclaim their party.",Donald Trump,Arizona,-1,1,-1
I've never got a real balance on where most Republicans who are not voting for Donald Trump feel about that.,Donald Trump,Arizona,0,0,0
"Some of this change can be attributed to demographic shifts, while other factors include dissatisfaction with Donald Trump's rhetoric and policies.",Donald Trump,Arizona,1,-1,-1
"Trump, despite being a leader for the Republican Party, has alienated a significant portion of Arizona's conservative base, particularly those loyal to the late Senator John McCain dot McCain, a war hero and longtime senator from Arizona, was a revered figure in the state, with many Republicans continuing to hold him in high regard even after his passing.",Donald Trump,Arizona,-1,-1,-1
"However, Trump's repeated insults toward McCain have not gone unnoticed by voters.",Donald Trump,Arizona,1,-1,-1
"From questioning McCain's war hero status to attacking him posthumously for his legislative decisions, Trump has consistently undermined McCain's legacy, which has only served to deepen divisions within the Republican Party in Arizona.",Donald Trump,Arizona,1,-1,-1
But McCain isn't the only Republican figure that Trump has alienated.,Donald Trump,Arizona,0,0,0
"However, like other groups within the GOP, many Mormons have become disillusioned with Trump's behavior and rhetoric, which they see as being incompatible with their religious beliefs.",Donald Trump,Arizona,1,-1,-1
"Young women, in particular, have been vocal about their support for the measure, and their votes could make a significant difference in a state that is as closely contested as Arizona. Arizona's Latino population has long been a crucial part of the state's electorate, and in recent years, there has been a lot of discussion about whether Latino voters are shifting toward more conservative candidates like Donald Trump.",Donald Trump,Arizona,1,1,1
"While some Latino voters may be drawn to Trump's message of economic growth and border security, others are more concerned with issues like healthcare, education, and immigration reform, issues that align more closely with the Democratic Party's platform.",Donald Trump,Arizona,0,1,0
"However, it remains to be seen whether these efforts will be enough to counteract the gains that Trump has made with certain segments of the Latino electorate.",Donald Trump,Arizona,0,1,1
"During his speech with Tucker Carlson on late Thursday night in Arizona, Donald Trump just threatened the life of Liz Cheney.",Donald Trump,Arizona,-1,-1,-1
"Donald Trump said, let's put her with a rifle standing there with nine barrels at her.",Donald Trump,Arizona,-1,0,-1
"Play the clip, and I don't blame him for sticking with his daughter, but his daughter is a very dumb individual, very dumb.",Donald Trump,Arizona,-1,-1,-1
"You know, when the guns are trained on her face, you know, how despicable can you get? And I believe that Donald Trump just violated the terms of his relief for the felony charges.",Donald Trump,Arizona,-1,-1,-1
I think that Donald Trump just committed a felony right there.,Donald Trump,Arizona,-1,-1,-1
Also Donald Trump just seems very unwell.,Donald Trump,Arizona,-1,0,-1
"He was making noises throughout the night, just making weird noises while instead of even speaking here, watch.",Donald Trump,Arizona,-1,-1,-1
Donald Trump continues by calling Adam Schiff a watermelon head.,Donald Trump,Arizona,-1,0,-1
Donald Trump's freaking out about the data.,Donald Trump,Arizona,0,-1,-1
"When Donald Trump talks about a certain pastor who says that he's great, I don't know what he's talking about.",Donald Trump,Arizona,-1,1,-1
And he was a big supporter.,Donald Trump,Arizona,1,1,1
But he said he may not know the Bible quite as well as other people are supposed to.,Donald Trump,Arizona,-1,1,-1
There's a reason why he's not releasing his medical records anyway.,Donald Trump,Arizona,-1,0,-1
"And her saying, all Donald Trump wants to do is divide us.",Donald Trump,Arizona,-1,0,-1
"We really need to see what's there needs to be ramifications for what Donald Trump said at the beginning, because I believe that was a felony threat right there.",Donald Trump,Arizona,-1,-1,-1
"Let's turn to the 2024 race, you heard President Trump's remarks.",Donald Trump,Arizona,0,0,0
"I know you wanna talk about policy, and I respect that, but the reason that Donald Trump is not up 10 points is because of comments like that one, where people do have concerns about his fitness, his acuity, and his stability.",Donald Trump,Arizona,-1,1,-1
"When President Trump is at a rally, sometimes he'll speak for two straight hours.",Donald Trump,Arizona,-1,1,1
So he has fun at the rallies.,Donald Trump,Arizona,1,1,1
He says things that are off the cuff.,Donald Trump,Arizona,-1,0,-1
Donald Trump has a slim lead here in Arizona in a poll of likely Arizona voters in a head to head matchup.,Donald Trump,Arizona,1,0,1
"Take a listen, Donald Trump got word of the bill, realized it was going to fix a problem he wanted to run on and told them to kill the bill.",Donald Trump,Arizona,1,-1,-1
He killed a bill that would have actually been a solution because he wants to run on a problem instead of fixing a problem.,Donald Trump,Arizona,-1,-1,-1
 The former president will join Joe Rogan for an in-person taping in Austin Rogan show the Joe Rogan experience has more than 14 million followers on Spotify and 17 and a half million subscribers on YouTube.,Donald Trump,Arizona,1,0,0
He's gone after one of our favorite sons John McCain on any number of occasions.,Donald Trump,Arizona,1,0,0
"Yeah, i think there's a lot of people who care deeply about John McCain who thought he was a very good senator for the state of Arizona and they don't like the attitude that Donald Trump has about him.",Donald Trump,Arizona,1,-1,-1
On the other side of the issue there's a question about immigration on the ballot and immigration is something that is definitely lighting up the supporters of Donald Trump.,Donald Trump,Arizona,1,1,1
"And a lot of that has to do with, one, Trump has a strong history here.",Donald Trump,Arizona,1,1,1
"But certainly there was some reporting, and I heard sort of whisperings within the Trump camp that at one point they were worried about Kerry Lake, who is very controversial, kind of dragging his chances down in Arizona.",Donald Trump,Arizona,-1,0,-1
"But it doesn't seem like, from what you say, that's really a plausible scenario at this point. I would be surprised, and only because Donald Trump as a figure is, he's his own person.",Donald Trump,Arizona,-1,1,1
He is very much an independent entity.,Donald Trump,Arizona,1,0,1
"He voted to support this bipartisan border bill that Donald Trump opposed, Kerry Lake opposed.",Donald Trump,Arizona,1,0,0
 They have obtained records indicating that National Archives investigators have pursued a case of potential fraud against a slate of would-be Trump electors in the state of Arizona.,Donald Trump,Arizona,1,-1,-1
I like his policy on closed borders and I don't like illegal immigration.,Donald Trump,Arizona,1,1,1
He talks like I talk with my friends.,Donald Trump,Arizona,1,1,1
"If people sit down and actually watch the full long term interview, I think they'll see more kind of who Trump is, kind of not the evil guy that everyone makes him out to be.",Donald Trump,Arizona,1,1,1
He and she got some guff for the donations as they came at a time when Trump was facing a class action lawsuit into whether Trump University had built students out of money.,Donald Trump,Arizona,-1,-1,-1
I don't think it hurts Trump's chances.,Donald Trump,Arizona,1,1,1
He's done much less ethical things that voters have overlooked.,Donald Trump,Arizona,-1,-1,-1
Donald Trump is a 78-year-old billionaire who has not stopped whining about his problems since he wrote down that golden escalator nine years ago.,Donald Trump,Arizona,-1,-1,-1
"And when he's not complaining, he's trying to sell you stuff.",Donald Trump,Arizona,1,0,0
"Where these Bibles are made, so, Mr. Tough Guy on China, except when he can make a few bucks, hawking his Trump edition Bibles.",Donald Trump,Arizona,-1,-1,-1
And the reason he's doing it is because what he cares about is his ego and his money and his status.,Donald Trump,Arizona,-1,-1,-1
He's not thinking about you.,Donald Trump,Arizona,-1,0,-1
Donald Trump sees power as nothing more than a means to his ends.,Donald Trump,Arizona,-1,0,-1
He wants the middle class to pay the price for another huge tax cut that would mostly help him and his country club buddies.,Donald Trump,Arizona,1,-1,-1
"Vote, most of all, most of all, Donald Trump wants us to think that this country is hopelessly divided between us and them, between the, quote, real Americans, which, by which he means his supporters, and the outsiders who don't support him.",Donald Trump,Arizona,1,-1,-1
"Because having people divided and angry and aggrieved and resentful, he figures that boosts his chances to get elected.",Donald Trump,Arizona,1,-1,-1
"Now, so those are his intentions, i do have to point out that along with his intentions, there is also a question of his competence.",Donald Trump,Arizona,-1,0,-1
"Have you seen him lately: i mean, he is out there, he's given two, two and a half hour speeches, just word salads.",Donald Trump,Arizona,1,0,-1
You have no idea what he's talking about.,Donald Trump,Arizona,-1,-1,-1
"He just decided, you know what, I'm going to stop taking questions.",Donald Trump,Arizona,1,-1,-1
And then he's swaying to Ave Maria and YMCA for about half an hour.,Donald Trump,Arizona,1,-1,-1
"Tucson, we do not need to see what an older, loonier Donald Trump looks like with no guardrails.",Donald Trump,Arizona,-1,-1,-1
Donald Trump's plan is to give another massive tax cut to billionaires and big corporations.,Donald Trump,Arizona,-1,-1,-1
"Now, some people, because I'm having conversations around the country with folks as I go campaigning, and I'll hear some people say, well, I remember the economy when those first two years with Trump, they were pretty good.",Donald Trump,Arizona,1,1,1
"So when I handed over the economy to Donald Trump, we had had 75 straight months of job growth.",Donald Trump,Arizona,1,1,1
"But this is basically a Trump sales tax that could cost the average family almost $4,000 a year.",Donald Trump,Arizona,-1,0,-1
"If you think prices are high now, Donald Trump's message is, you ain't seen nothing yet.",Donald Trump,Arizona,-1,0,-1
"When it comes to health care, Donald Trump's got one answer, and that is, and Obamacare.",Donald Trump,Arizona,1,0,0
"Get rid of the Affordable Care Act, even though 45 million people rely on it. A couple of weeks ago, his running mate had the nerve, the chutzpah, to say that Donald Trump salvaged the Affordable Care Act.",Donald Trump,Arizona,1,-1,-1
"Donald Trump spent his entire presidency trying to dismantle it, and he couldn't even do that right.",Donald Trump,Arizona,-1,0,-1
"When he was asked about it, he said, well, I have a concept of a plan for how I might replace it.",Donald Trump,Arizona,1,0,0
You think Donald Trump's ever changed a diaper: no.,Donald Trump,Arizona,1,-1,-1
"He wants you to believe that if you let him round up whoever he wants and ship him out, all your problems will be solved.",Donald Trump,Arizona,1,-1,-1
"But remember, Donald Trump was president for four years.",Donald Trump,Arizona,1,0,0
"Because he didn't have a real plan, and he still doesn't.",Donald Trump,Arizona,-1,0,-1
What he had is talking points.,Donald Trump,Arizona,1,0,0
What he had is a concept of a plan.,Donald Trump,Arizona,1,0,0
He cared more about winning an election than he did to actually solve the problem.,Donald Trump,Arizona,-1,1,-1
"Vote, we do not need a president who's willing to make problems worse to make his politics better.",Donald Trump,Arizona,-1,-1,-1
"For Donald Trump and his cronies, freedom means that the powerful can do whatever they please.",Donald Trump,Arizona,-1,1,-1
"And it's been fascinating to watch Donald Trump just try to tie himself into a pretzel on this issue, because he sees that what his party has been doing is unpopular.",Donald Trump,Arizona,1,-1,-1
"And so when he ran for President the first time, he said he would support punishing women who got an abortion, punishing women. Then a couple weeks ago, he tells women he'll be their, quote, protector.",Donald Trump,Arizona,1,-1,-1
"I will tell you how he protected you, quote, unquote. He handpicked three of the Supreme Court justices who overturned Roe v. Wade. He bragged about it. And he's out there saying, well, you know, everyone wanted it this way.",Donald Trump,Arizona,-1,1,-1
"Donald Trump may be confused, but let's be clear about what's at stake here.",Donald Trump,Arizona,1,0,0
"And meanwhile, Donald Trump and his running mate were making up stories, circulating stories about how the Biden administration was withholding aid and not giving it to Republican areas and giving it to undocumented immigrants, just making stuff up.",Donald Trump,Arizona,-1,-1,-1
"And because Donald Trump feels like making stuff up, you've got hard work and public servants who cannot do their jobs.",Donald Trump,Arizona,-1,-1,-1
"And I have to say, I've noticed this, especially with some men who think Trump's behavior, the bullying and the putting people down and acting all pretend tough guy, that somehow that's a sign of strength.",Donald Trump,Arizona,-1,-1,-1
"If somebody says, well, I'm thinking about voting for Trump because I remember the economy being pretty good, remind them why it was good.",Donald Trump,Arizona,1,1,1
"If they say, well, I'm mad about higher prices, you say, well, what is exactly Donald Trump's plan for higher prices? Just ask him.",Donald Trump,Arizona,-1,0,0
"And if they don't, you tell them he's got concepts of a plan and it don't make sense.",Donald Trump,Arizona,-1,0,-1
"If they're concerned about issues like immigration, ask him, well, what do you think he's going to do: because we know what he did the first time didn't work.",Donald Trump,Arizona,-1,-1,-1
"And if after you've gone through that and the folks who are unconvinced say, yeah, I don't know, I still like him, then you then I think you have to then say, yeah, but what about character, what about values: because that matters.",Donald Trump,Arizona,0,0,0
"Vote, most of all, most of all, Donald Trump wants us to think that this country is hopelessly divided between us and them, between the, quote, real Americans, by which he means his supporters, and the outsiders who don't support him.",Donald Trump,Arizona,-1,-1,-1
"Have you seen him lately: i mean, he is out there.",Donald Trump,Arizona,1,0,1
"He's given two, two and a half hour speeches, just word salads.",Donald Trump,Arizona,1,-1,-1
"If you think prices are high now, Donald Trump's message is, you ain't seen nothing here.",Donald Trump,Arizona,1,-1,-1
Donald Trump spent his entire presidency trying to dismantle it.,Donald Trump,Arizona,1,0,0
And he couldn't even do that right.,Donald Trump,Arizona,-1,0,-1
"If they're concerned about issues like immigration, ask him, well, what do you think he's going to do: because we know what he did the first time it didn't work.",Donald Trump,Arizona,-1,1,-1
He's like having Jeeves change his tire.,Donald Trump,Arizona,-1,0,0
We do not need a president who's willing to make problems worse to make his politics better.,Donald Trump,Arizona,1,-1,-1
"If somebody says, well, I'm thinking about voting for Trump because I remember the economy being pretty good, remind him why it was good.",Donald Trump,Arizona,1,1,1
"And if they don't, you tell them he's got concepts of a plan.",Donald Trump,Arizona,1,0,1
"And right now I do have it tilting towards Donald Trump very, very narrowly, but again, a win for him.",Donald Trump,Arizona,1,1,1
"So this is 538 forecast right now, as you can see, Donald Trump is favored 54 out of 100 times on the national level.",Donald Trump,Arizona,1,1,1
"But then when you go down to Arizona, he is still favored by a pretty decent margin, actually even more than on the national level, 65 out of 100 times, which I think is a pretty large overestimation of him.",Donald Trump,Arizona,1,1,1
"It's about a 4,500 vote win for Donald Trump, about a 0.13% win.",Donald Trump,Arizona,1,1,1
"So I think this does give Republicans an advantage, and with the border issue being a huge advantage for Trump, I expect him to do very well in the southern part of the state, as you can see improving in places like Cochise, Santa Cruz, and Pima County, as well as improving in Yuma County and Pinal County, which he actually did improve in Yuma County in 2020 from 2016, which is interesting.",Donald Trump,Arizona,1,1,1
"But again, this is the marginal map, so pretty good news for Donald Trump.",Donald Trump,Arizona,1,1,1
"Even polls that have Trump up by nice margins at the state, you know, 34%, they have Ruben Gallego up by double digits.",Donald Trump,Arizona,1,1,1
It's time to put an end to Trump's darkness.,Donald Trump,Arizona,-1,-1,-1
Donald Trump wants a national abortion ban.,Donald Trump,Arizona,0,0,0
Donald Trump wants another tax giveaway for billionaires.,Donald Trump,Arizona,-1,0,-1
"And he wants to implement a bunch of ridiculous tariffs that will jack up costs for Arizona families by $4,000 a year.",Donald Trump,Arizona,-1,-1,-1
"And just last week, he said he will torpedo our semiconductor industry here in our state,  that will cost Arizona tens of thousands of good-paying jobs.",Donald Trump,Arizona,1,-1,-1
"Not for Donald Trump's billionaire friends, Donald Trump has never served anyone except for Donald Trump.",Donald Trump,Arizona,-1,-1,-1
"Arizona shares a border with Mexico, former US President Donald Trump and now a candidate keeps talking about mass deportations once he's in office.",Donald Trump,Arizona,0,0,0
"Yes, very definitely, it has resonated with the more conservative leaning or Trump leaning voters in Arizona.",Donald Trump,Arizona,1,1,1
"Trump's remarks were part of his broader campaign strategy to highlight immigration and border security issues, reflecting his previous promise to complete the border wall.",Donald Trump,Arizona,0,0,0
"His rhetoric continues to include strong anti-immigrant sentiments, though studies show that U.S. citizens are more likely to commit crimes than unauthorized immigrants.",Donald Trump,Arizona,-1,1,-1
"Arizona became a hotbed of conspiracy theories after Donald Trump spread those lies about the election being stolen, votes not being correctly counted.",Donald Trump,Arizona,-1,-1,-1
We know that Donald Trump and his supporters and all of the election deniers are latching on to these election fraud lies because they know that they may lose.,Donald Trump,Arizona,1,-1,-1
We know that Wall Street Journal and many other Goldman Sachs and other financial firms have predicted a worse economy under Trump.,Donald Trump,Arizona,-1,-1,-1
"The White House released a new memo today, timed to the VP's visit, noting that border crossings are now lower than when Trump left office, thanks to a strict new asylum policy.",Donald Trump,Arizona,1,-1,-1
"But at a press conference yesterday, Trump said he would go much farther.",Donald Trump,Arizona,-1,0,0
"There's one person responsible for this nightmare, and he's acknowledging, he brags about it, Donald Trump.",Donald Trump,Arizona,-1,-1,-1
"When it comes to abortion, there is one thing Biden and Trump agree on, that it was Trump's appointment of three deeply conservative Supreme Court justices that changed the balance of the court and brought about an end to Roe v. Wade.",Donald Trump,Arizona,-1,1,-1
And yet polling by CBS News shows only a third of Americans say Trump deserves the blame.,Donald Trump,Arizona,-1,-1,-1
It comes also with many other Republicans not endorsing Donald Trump for reelection.,Donald Trump,Arizona,1,-1,-1
Mike Pence announced earlier on this year that he was not endorsing Donald Trump for president.,Donald Trump,Arizona,-1,0,-1
"39 other members of Donald Trump's cabinet, meaning secretaries who were confirmed by the Senate, members who were put into his administration, Donald Trump saw many of them pull away from him after the 2020 presidential election and specifically after the January 6th insurrection.",Donald Trump,Arizona,-1,-1,-1
Donald Trump crucified Tim Walz on multiple socials and through his surrogates.,Donald Trump,Arizona,-1,0,-1
"Sorry, made Donald Trump less able to go after Tim Walz on a topic like this now that there was direct audio evidence of him saying that Tim Walz did the opposite of what he was trying to accuse him of for this election cycle.",Donald Trump,Arizona,1,-1,-1
"The McCain family, not all in for Donald Trump in any circumstance, in 2020, we saw that Donald Trump lost the state of Arizona, and many of the Republicans who then went on to bash John McCain and bash many members of the Republican Party that existed peacefully with many of these MAGA Republicans back in 2012, even in 2016.",Donald Trump,Arizona,-1,-1,-1
"But what you do find is that in the Republicans that are far more extreme, people like Kerry Lake, people like Blake Masters, people like Donald Trump, it is states like Arizona where there are Republican votes out there.",Donald Trump,Arizona,0,0,0
"And the same that you see from Republican mayors like the one you see from Mesa, Arizona, that are willing to cross the aisle because they see Donald Trump as a threat.",Donald Trump,Arizona,1,-1,-1
"So take with that what you will, that the only person who has been able to handle the border correctly is Donald Trump.",Donald Trump,Arizona,1,0,1
"The Republican Party is at a point where if there's any more fracturing, Donald Trump will continue to lose support from his base and from members of the center.",Donald Trump,Arizona,-1,1,-1
"But cannot stomach Donald Trump for the way that he handled January 6th, for the way that he handled various issues, the coronavirus, whatever it might be.",Donald Trump,Arizona,-1,0,-1
Trump doesn't have a message.,Donald Trump,Arizona,-1,-1,-1
I think Trump is better.,Donald Trump,Arizona,1,1,1
"Also this hour, new reporting on Trump's efforts to tighten his security ahead of the election and after attempts on his life.",Donald Trump,Arizona,1,0,0
He's asking for access to travel on military aircraft with anti-missile systems instead of on his own plane.,Donald Trump,Arizona,1,0,0
And we begin with Donald Trump's newest efforts to win votes by spreading debunked claims about the actions of undocumented immigrants.,Donald Trump,Arizona,-1,1,-1
"Well, Alex, Aurora has really been the epicenter of this sort of disinformation campaign we have seen from the former president when it comes to immigration.",Donald Trump,Arizona,-1,1,-1
"That's not why he's here, instead, he is here to perpetuate this rhetoric around immigration.",Donald Trump,Arizona,-1,0,-1
He has been saying for months that Aurora was taken over by Venezuelan gangs.,Donald Trump,Arizona,-1,0,-1
"At one point, he called our country occupied America.",Donald Trump,Arizona,-1,0,0
"He did announce a new policy for if he was reelected, where he said he would essentially create a federal program that would expedite the process of getting rid of deporting migrant gang members, undocumented migrant gang members.",Donald Trump,Arizona,1,0,0
"Again, he is clearly appealing to his base here.",Donald Trump,Arizona,1,1,1
"Yeah, appealing to his base there with a very dark message.",Donald Trump,Arizona,1,1,1
"And Maria Cardona, when you look at the polling numbers, what does it say to you that Trump is seeing some of his best ever figures with Latino voters despite this rhetoric and this disinformation on immigration.",Donald Trump,Arizona,0,1,1
"Trump certainly has grown his support among some within the Latino community, but it certainly is not what the media and some others make it out to be.",Donald Trump,Arizona,-1,1,1
"So, no, I don't think he should be criticized for trying to do what's best for his overall party.",Donald Trump,Arizona,1,1,1
"So he's picking these little wedge issues, and he knows that there's an opportunity.",Donald Trump,Arizona,1,0,0
He is putting people's lives at risk when he talks this way.,Donald Trump,Arizona,0,-1,-1
"But he does see that he has the edge when it comes to immigration, unfortunately.",Donald Trump,Arizona,1,-1,1
"And, you know, this is Donald Trump being Donald Trump.",Donald Trump,Arizona,1,0,0
"Do you believe he lost the 2020 election: i think that Donald Trump and I have both raised a number of issues with the 2020 election, but we're focused on the future.",Donald Trump,Arizona,-1,1,-1
His vice presidential candidate cannot admit that Donald Trump lost the election.,Donald Trump,Arizona,-1,-1,-1
"And actually, there actually been a couple of moments when Trump himself has admitted that he lost by a whisper and then he would walk that back later.",Donald Trump,Arizona,1,-1,-1
He has been completely against everything that the people that I represented as a state legislator and the communities that I represented as lieutenant governor.,Donald Trump,Arizona,-1,0,-1
"Everything we stand for, everything that would help improve our quality of life he stood for, no less than undermining our democracy itself.",Donald Trump,Arizona,-1,0,-1
"So Scott, is this less about Trump and more about those voters staying home: well, I do think the Republicans and the Trump campaign specifically believe they are going to make inroads with a lot of men, male voters of all races, white, black, Hispanic, you name it.",Donald Trump,Arizona,1,1,1
And we've never heard Trump insult anyone either.,Donald Trump,Arizona,1,1,1
Republican pollster Sarah Longwell did confirm that to Politico that Trump is making inroads with all male voters across the board.,Donald Trump,Arizona,1,0,1
"But as Scott says, I mean, Donald Trump has been going out of his way to appeal to men from Hulk Hogan at the convention to, you know, to young men.",Donald Trump,Arizona,0,0,1
"He did play the dad role there was saying, wait a minute, guys, take a closer look and it may work and it may not work.",Donald Trump,Arizona,1,1,1
Multiple sources are telling CNN that Trump is now asking for additional federal protective measures.,Donald Trump,Arizona,1,0,0
"Trump, of course, is facing a variety of serious threats.",Donald Trump,Arizona,1,0,0
There are a number of things that have already been delivered to the Trump campaign that the Secret Service has has done.,Donald Trump,Arizona,1,0,0
"And those are being discussed, and then you have requests of the Trump campaign because he has an increased threat environment.",Donald Trump,Arizona,-1,-1,-1
"We should take that seriously, and that requires activities by the Trump campaign to respond to the increased risk environment.",Donald Trump,Arizona,1,0,0
"He doesn't like that, he wants a bigger rally.",Donald Trump,Arizona,1,0,0
He wants outdoor rallies.,Donald Trump,Arizona,1,0,0
"This is this is this is a danger, i'm saying this because it's dangerous for Trump, not because I think he's doing it politically dangerous for him.",Donald Trump,Arizona,1,-1,-1
"Donald Trump and his running mate, J.D, vance, have been targeting these legal immigrants, spreading disinformation and threatening to deport them if they're elected.",Donald Trump,Arizona,1,-1,-1
Bowers outlined the pressure campaign from Trump to try to overturn Biden's win in Arizona despite presenting no evidence of election fraud.,Donald Trump,Arizona,1,-1,-1
"What on earth would possess you to vote for Trump again, are you addicted to testifying, is that it: i mean, I have to say, you're very good at it.",Donald Trump,Arizona,1,-1,-1
"What did your notes say anyway: like a lot of people, I watched the hearing, and I thought, thank God, there are principled Republicans who have the backbone to stand up to Trump.",Donald Trump,Arizona,1,1,1
"Votes, that's a terrifying moment despite the fact that Trump turns into Professor Freak at the end of that sentence.",Donald Trump,Arizona,1,-1,-1
"I mean, the accusation is that Trump had this stuff laying around all over the place.",Donald Trump,Arizona,1,-1,-1
Arizonans are rejecting Donald Trump and his failed leadership.,Donald Trump,Arizona,-1,-1,-1
Another Trump term with JD Vance would be far worse and would lead our country down a path that I don't think we could ever recover from.,Donald Trump,Arizona,-1,-1,-1
We reached out to the Arizona GOP who's expressed their support for Trump.,Donald Trump,Arizona,1,1,1
The Trump force 47 is launching in Arizona with the grand opening of a new office in Phoenix.,Donald Trump,Arizona,-1,1,1
It says it's designed to make it easier for people who support Mr. Trump to volunteer to help his campaign.,Donald Trump,Arizona,1,1,1
