Sentence,Presidential_Candidate,State
And some very reputable sources as they enter into the final stages of polling and understanding the race are saying Kamala Harris is starting to win back support.,Kamala Harris,Michigan
"If there was ever a time for Kamala Harris to turn around a race, turn around some of these battlegrounds, that time would be now.",Kamala Harris,Michigan
"And the question remains, will Michigan hold blue as the polls are predicting, will it be a 2016 type of error where they end up going to Donald Trump, despite the preliminary data suggesting otherwise: so thank you guys so much for watching this video.",Donald Trump,Michigan
"And President Trump can say whatever he wants, but we've seen his record that has been disastrous for the auto industry.",Donald Trump,Michigan
Today we have a really important one for Donald Trump.,Donald Trump,Michigan
"With me, CNN's senior data reporter, professor of numbers, Harry Ettin, when we talk about Donald Trump from the beginning of Donald Trump as a political figure, non-college white voters, white voters who did not go to college, have been one of his key demographics.",Donald Trump,Michigan
It's been a key demographic for him.,Donald Trump,Michigan
It's been his base.,Donald Trump,Michigan
"So you would think his core group, his base of support would be doing the same.",Donald Trump,Michigan
So this is Trump's march with non-college white voters.,Donald Trump,Michigan
"It's actually moving slightly away, so you go back eight years ago, he won him by 33.",Donald Trump,Michigan
"You go back four years ago, he won him by 31.",Donald Trump,Michigan
"Shrinkage, as Donald Trump might say, based on what he said the last few days.",Donald Trump,Michigan
"All other groups, voters of color at 28 percent, so this is something that we've seen throughout the board, right: which is that Donald Trump is making huge gains with groups that make up a smaller percentage of the electorate while he's losing a little bit.",Donald Trump,Michigan
But these groups that he's losing a little bit of make up a much larger portion of the electorate.,Donald Trump,Michigan
Donald Trump won him by 25.,Donald Trump,Michigan
Donald Trump winning him by 22.,Donald Trump,Michigan
"Again, Trump is ahead, but his margins are smaller.",Donald Trump,Michigan
"And when you have a shrinking margin for Donald Trump among his core group that makes up the majority of voters, it can make up for big shifts among smaller groups of the electorate.",Donald Trump,Michigan
"It's because even though she's losing big league, she's losing big league among groups that make up a small portion of the electorate.",Kamala Harris,Michigan
"And she's making it up among groups that make up a big portion of the electorate, even if the movements are small.",Kamala Harris,Michigan
"And if I can, yes, please, again, you know, as you're looking here, again, this is where Donald Trump has seen gains.",Donald Trump,Michigan
"Everyone, let's thank President Trump.",Donald Trump,Michigan
"Was Donald Trump's 39 minute spontaneous dance party the closest we are getting to an October surprise: as both campaigns enter the home stretch, there will be no big final debate.",Donald Trump,Michigan
He's nearly 80 years old.,Donald Trump,Michigan
"He's out there rambling, moving around, we'll give him a break.",Donald Trump,Michigan
"But look, he's not up to this anymore, folks.",Donald Trump,Michigan
He's not up to it.,Donald Trump,Michigan
"Quote, Trump suddenly seems not just lazy, weak by dodging another debate, for instance, and old, but also truly out of it.",Donald Trump,Michigan
"You know, he's still Trump, but he's you know, he's hanging out with McDonald's with real people, talking about stuff that real people like that.",Donald Trump,Michigan
And this is the reason why I think Kamala Harris is going to win.,Kamala Harris,Michigan
"When when when it's all about turnout, what's key is enthusiasm, right, you know, whose voters are more excited about going out to vote: and Harris has like a 10 point advantage.",Kamala Harris,Michigan
She also has about a 10 point advantage on women voters.,Kamala Harris,Michigan
So I see a lot of signs that polling is not picking up their advantages for Harris.,Kamala Harris,Michigan
And I think that she's going to win.,Kamala Harris,Michigan
"So just sort of counter to my own narrative, there's a reality out there that there are huge numbers of young men turning out for Trump and these Charlie Kirk campus rallies.",Donald Trump,Michigan
So this conventional wisdom that on college campuses is all women and they're all voting for Harris.,Kamala Harris,Michigan
"They don't normally turn out, and I just don't think if they if they're not excited about Donald Trump before I don't know why they would be now.",Donald Trump,Michigan
And I think that's where Harris is going.,Kamala Harris,Michigan
Again I take your point that you think Harris is on track to win here.,Kamala Harris,Michigan
And that's exactly what the Harris campaign is doing.,Kamala Harris,Michigan
"I think that Donald Trump would be a total disaster for our nation, and I cannot vote for him.",Donald Trump,Michigan
So what's at stake for women if Donald Trump is our president: i think it's bad news for women.,Donald Trump,Michigan
And so we're going to take a look at what counties my favorite Harris over Trump.,Kamala Harris,Michigan
"And if we go back to 2020, we see that Trump won that county 66%, total votes 85,123.",Donald Trump,Michigan
"And if we go back to 2020, Trump won this county 69% and total votes 99,585.",Donald Trump,Michigan
"If we go back to 2020, we see that Trump won that county by 71%, total votes 64,183.",Donald Trump,Michigan
"If we go back to 2020, we see that Trump won that county by 56%, total number there, 41,540.",Donald Trump,Michigan
"And if we go back to 2020, we see that Trump won by 67%, with a total number of 51,501 votes.",Donald Trump,Michigan
"If we go back to 2020, we see that Trump won that county by 53%, and total votes 37,956.",Donald Trump,Michigan
"If we go back to 2020, we see that Trump won that county by 62%, total votes 50,013.",Donald Trump,Michigan
"And that's probably going to help Harris, okay, I want to show you the electoral map.",Kamala Harris,Michigan
But let's just say that it goes for Trump.,Donald Trump,Michigan
"And if you look at 538, their polling average, Harris has a slight advantage.",Kamala Harris,Michigan
"She'll have 276, so that's something else that we're looking at.",Kamala Harris,Michigan
"There's a wave, a Democratic wave going across the country as she's going around with all these events here.",Kamala Harris,Michigan
"Is it possible to keep this momentum going, what does she need to do to keep the momentum between now and November: i think that she keeps doing what she's doing.",Kamala Harris,Michigan
I think that she's got a ton of momentum.,Kamala Harris,Michigan
"People are excited, her message of hope and positiveness and what's right about the country is connecting with people.",Kamala Harris,Michigan
"And Donald Trump's message about faith, family, and freedom, growing our economy, securing our borders, addressing skyrocketing inflation, these are the messages that are resounding with voters.",Donald Trump,Michigan
It's pretty hard to argue his record isn't one and one.,Donald Trump,Michigan
"And again, no matter your politics, it's hard to have watched that and not to clear Harris the winner, at least poll after poll continues to show.",Kamala Harris,Michigan
"Vance and Trump will let Michigan manufacturing's plants close, just like Trump did.",Donald Trump,Michigan
They're gonna send us backwards.,Donald Trump,Michigan
"We can't go back, going back means cutting $500 million from the Lansing Grand River plant.",Donald Trump,Michigan
Don't let Trump and Vance throw it away.,Donald Trump,Michigan
Four years ago when Republican Mike Rogers said this about Donald Trump.,Donald Trump,Michigan
I think yesterday broke the spell that so many people had about Donald Trump.,Donald Trump,Michigan
"Clearly his actions led to that, you know, what we, there's no great way to describe what happened yesterday, sedition.",Donald Trump,Michigan
You even said that he was clearly responsible for the acts of January 6th.,Donald Trump,Michigan
"Do you stand by any of those: well I didn't say he was clearly responsible, but here's the thing.",Donald Trump,Michigan
"But do you stand by any of the criticism that you had after 2020: even Donald Trump said I was tough, but fair.",Donald Trump,Michigan
"Look at the issues, i wouldn't line up with Kamala Harris on anything, rogers is now trying to tie Vice President Kamala Harris to Slodkin.",Kamala Harris,Michigan
She voted 100 percent with the Biden-Harris agenda.,Kamala Harris,Michigan
"But even as Slodkin has backed the Biden-Harris agenda and campaigned with the VP, When the vice president comes, you go.",Kamala Harris,Michigan
"But the truth is, I can have those conversations with Kamala Harris when we disagree.",Kamala Harris,Michigan
Mike Rogers can't disagree with Donald Trump.,Donald Trump,Michigan
"As Trump was in Detroit earlier this month, he leveled this insult.",Donald Trump,Michigan
"Now what he was talking about is there are schools that are failing, and the Democrats every year keep saying, I'm going to help you.",Donald Trump,Michigan
"When Joe Biden dropped out of the race and Kamala Harris became the nominee, Adam was initially hopeful.",Kamala Harris,Michigan
"You know, we hear a lot of talks about a ceasefire, but Kamala Harris and everybody, they say, you know, we want a ceasefire, but, and then what we want to see is a permanent ceasefire.",Kamala Harris,Michigan
"The week we traveled to Dearborn, the city was hosting ArabCon.",Kamala Harris,Michigan
"Now, a recent national poll puts Kamala Harris' support with the Muslim community at 30%.",Kamala Harris,Michigan
"You know, the Arab and Muslim community knows very well what a Trump presidency looks like.",Donald Trump,Michigan
He is a threat to our country.,Donald Trump,Michigan
He's a threat to our democracy.,Donald Trump,Michigan
So we also need to talk about Kamala Harris being a threat to our democracy and the Democratic Party being a threat to our democracy.,Kamala Harris,Michigan
"I think he's not just a disaster for Arab-Americans, but he's also a disaster for all Americans.",Donald Trump,Michigan
"Ali's family history is deeply tied to Michigan's labor unions, which are known for having a significant influence on the outcome of elections.",Donald Trump,Michigan
"And at the same time, I think Donald Trump would be disastrous for our country.",Donald Trump,Michigan
"If Harris does not move as it relates to policy, I cannot come out and endorse Harris.",Kamala Harris,Michigan
"But as more and more Arab and Muslim voters stop being loyal to the Democratic Party, it could make Kamala Harris's path to the White House extremely difficult.",Kamala Harris,Michigan
You saw Donald Trump once tonight.,Donald Trump,Michigan
He only decided to take this job once he found out Trump was going to be president.,Donald Trump,Michigan
"But Biden is old, trump is old, four years younger.",Donald Trump,Michigan
But you think they should support Trump more than they even have.,Donald Trump,Michigan
"Yes, sir, okay, and Del, final question for you, independent for Trump also, independent, yeah, for Trump, you supported Trump though.",Donald Trump,Michigan
"But either way, you're a Trump supporter.",Donald Trump,Michigan
But now six of those eight forecasts show Trump slightly favored to win.,Donald Trump,Michigan
So how big of a problem does Harris have with young men: she has one.,Kamala Harris,Michigan
Another demographic that Harris seems to have some issues with is Arab American voters.,Kamala Harris,Michigan
She is doing better amongst women.,Kamala Harris,Michigan
"How much of this is about winning over Trump supporters: you could vote for Trump, but also vote for a Democrat at the Senate level.",Donald Trump,Michigan
"I mean, look, relatively speaking, she is a newer candidate.",Kamala Harris,Michigan
"It's only recently, a couple of weeks, she started to do interviews.",Kamala Harris,Michigan
"And you know, Donald Trump, he's been essentially running for president for 10 years.",Donald Trump,Michigan
She's not talking about the economy.,Kamala Harris,Michigan
She's not talking about the border.,Kamala Harris,Michigan
"January 6th stuff, that's where she pulls better.",Kamala Harris,Michigan
So she's at least going to close on the two issues that voters trust her and think she's best able to handle.,Kamala Harris,Michigan
So I want to move our direction to Harris's campaign schedule this week.,Kamala Harris,Michigan
"She's also going to be campaigning with Beyonce herself, a Houston native.",Kamala Harris,Michigan
He Allred and Harris have focused heavily on abortion.,Kamala Harris,Michigan
So it looks like Trump will have the best performance with black voters since 1960.,Donald Trump,Michigan
"Right now, Trump might get 50%.",Donald Trump,Michigan
He's right now pulling at close to 50% of the Hispanic vote.,Donald Trump,Michigan
"Despite the fact that media, the media business continuously trying to call him his anti-Hispanic, right: that's all they do.",Donald Trump,Michigan
He hates immigrants.,Donald Trump,Michigan
He hates Hispanics.,Donald Trump,Michigan
"And that's why he might win close to 50% of the Hispanic vote, okay: this is not going well for them.",Donald Trump,Michigan
"But right now, it is possible that Trump is gonna win 25% of the black vote.",Donald Trump,Michigan
"How do we know that: because she's going on, she's going to the Death Star.",Kamala Harris,Michigan
She's going on to Fox News for an interview.,Kamala Harris,Michigan
"She is so desperate that she is, look, she can't handle friendly interviews, Rita.",Kamala Harris,Michigan
"How is she gonna handle Bret Baier: and Bret Baier, by the way, is not an attack dog.",Kamala Harris,Michigan
"And she's not gonna handle that, she can't handle the view, Rita.",Kamala Harris,Michigan
"What is she gonna do: look, the polling is all trending away from her.",Kamala Harris,Michigan
They push this notion that maybe Trump is like this bad guy and stuff.,Donald Trump,Michigan
"And he could very well just be like a bad guy, but I'd be lying if, you know, like numbers don't lie.",Donald Trump,Michigan
"He's done a lot for, you know, like us, you know, under his administration.",Donald Trump,Michigan
They're old enough to remember what it was like under Trump and compare it to what their life is like today under Joe Biden.,Donald Trump,Michigan
I think Trump's gonna win this election.,Donald Trump,Michigan
"I don't see this turning around anytime soon, unless there's some kind of massive mistake that he makes, which is always possible.",Donald Trump,Michigan
I think Trump's gonna win.,Donald Trump,Michigan
"Donald Trump, defying all expectations and predictions, managed to flip them red, securing a crucial victory.",Donald Trump,Michigan
"For Kamala Harris, these states represent both a formidable challenge and a significant opportunity to connect with voters.",Kamala Harris,Michigan
"To secure the presidency, she'll need to win back voters who felt left behind by the Democratic Party's previous strategies and policies.",Kamala Harris,Michigan
"But beyond that, she'll also need to energize a base that is still reeling from the shock of 2016, reigniting their passion and commitment.",Kamala Harris,Michigan
"Trump's presidency, marked by controversy and division, has left the country deeply polarized.",Donald Trump,Michigan
"His supporters see him as a disruptor, a fighter for the forgotten man.",Donald Trump,Michigan
His detractors view him as a threat to democratic norms and institutions.,Donald Trump,Michigan
She must unite a fractured Democratic Party while also appealing to independents and disaffected Republicans.,Kamala Harris,Michigan
The outcome in Michigan and Wisconsin could very well hinge on her ability to do just that.,Kamala Harris,Michigan
Trump's rallies in Michigan and Wisconsin are a familiar sight.,Donald Trump,Michigan
Kamala Harris faces an uphill battle in Michigan and Wisconsin.,Kamala Harris,Michigan
She needs to convince voters that she understands their concerns and has a plan to address them.,Kamala Harris,Michigan
She needs to articulate a clear vision for the future that resonates with their hopes and aspirations.,Kamala Harris,Michigan
One of her biggest challenges is overcoming the perception that she is a creature of the coastal elite.,Kamala Harris,Michigan
"She needs to connect with Midwestern voters on a personal level, showing them that she understands their values and shares their priorities.",Kamala Harris,Michigan
She needs to convince them that she's not just another politician making empty promises.,Kamala Harris,Michigan
"She needs to show them that she's a leader who will fight for them, someone who will listen to their concerns and work to improve their lives.",Kamala Harris,Michigan
"Many Republicans are appalled by his behavior, his policies, and his rhetoric.",Kamala Harris,Michigan
Republican voters are increasingly expressing their concerns about Trump's leadership.,Donald Trump,Michigan
"This discontent is a powerful force, and it has the potential to swing the election against Trump.",Donald Trump,Michigan
"If enough Republicans in key states like Michigan and Wisconsin decide to vote for Harris, it could be enough to tip the scales in her favor.",Kamala Harris,Michigan
This has led some to believe that Haley is tacitly encouraging her supporters to back Harris as a way to move the Republican Party away from Trumpism.,Kamala Harris,Michigan
The extent to which Haley's supporters will ultimately back Harris is unclear.,Kamala Harris,Michigan
"Section 11, the Long Game The 2024 election is more than just a referendum on Donald Trump.",Donald Trump,Michigan
It's a battle for the future of the Republican Party.,Donald Trump,Michigan
They believe that Trump's brand of politics is unsustainable and ultimately damaging to the party's long-term prospects.,Donald Trump,Michigan
"If Trump wins, it will embolden his wing of the party.",Donald Trump,Michigan
"Donald Trump lost the electoral college by an aggregate of somewhere between 45 and 60,000 votes last time.",Donald Trump,Michigan
"How critical is winning the state of Michigan to both of these candidates and their quest for 270 electoral votes: i mean, Gio, this is critical for Vice President Harris.",Kamala Harris,Michigan
He was able to flip some of those states red.,Donald Trump,Michigan
"The map gets so much harder, if not nearly impossible, for Harris if she loses Michigan.",Kamala Harris,Michigan
"That's why, of course, she is spending so much time there.",Kamala Harris,Michigan
A big day for her appearing for the first time alongside former First Lady Michelle Obama.,Kamala Harris,Michigan
"Look, I'm not sure that this is Trump necessarily going hugely outside of his base.",Donald Trump,Michigan
"Now, of course, she's up with women by 10 points, but that gender gap is so apparent here.",Kamala Harris,Michigan
"It was a very interesting, very long interview with Joe Rogan, meandering at times, nearly three hours, talked about everything from life on Mars to mixed martial arts fighters, but also Trump repeating and getting pushed by Rogan on some of his election conspiracies and false claims about election security, Gio.",Donald Trump,Michigan
And that's a big part of her closing argument.,Kamala Harris,Michigan
"These last 10 days, she needs to both talk about former President Trump, but also talk about herself and what she wants to get done.",Donald Trump,Michigan
"But on the other hand, she's making a direct appeal to independents, to sort of soft Republicans who aren't excited to vote for Trump.",Donald Trump,Michigan
"This implies that regardless of the election results, the 2024 election will be Trump's last.",Donald Trump,Michigan
"47.6% to 47.2%, given the electoral college does structurally favour Republicans, this national lead would almost certainly not be enough for Harris to win 270 electoral votes.",Kamala Harris,Michigan
"The latest polling average via DDHQ has Harris up 1.8%, based on 13 polls, 49.2% to 47.4%.",Kamala Harris,Michigan
"Kamala Harris 43.5% of the undecideds at 5% of the vote, robert Kennedy of course his name is still going to as you know appear on the ballot even though he is not running.",Kamala Harris,Michigan
Trump and his Madison Square Garden rally where the ugly comments are still reverberating.,Donald Trump,Michigan
Harris last night where she pledged to unify a divided country.,Kamala Harris,Michigan
Joe Biden won all three during the last election when he defeated Trump and entered the Oval Office.,Donald Trump,Michigan
"Any other just worried that under a Harris administration, it's going to continue.",Kamala Harris,Michigan
"And we've got we're doing really, you know, for Republicans, Donald Trump is doing pretty well with the black vote across the state.",Donald Trump,Michigan
And it's there's only one way for her to go.,Kamala Harris,Michigan
"And that's down, and I think Donald Trump is going to benefit from that.",Donald Trump,Michigan
And I think they see Donald Trump Trump fighting for their jobs.,Donald Trump,Michigan
We're going to carry Michigan for Trump.,Donald Trump,Michigan
We're going to carry the top of the ticket with Trump and with Mike Rogers.,Donald Trump,Michigan
"You've got to get the states that get you to 270 So I've got to change this back and now I can change it back to Harris So if she wins, Wisconsin Michigan and Pennsylvania There she is at 270 and she is done what has been done so many times before and that's when that blue wall That goes right through Wisconsin, Michigan and Pennsylvania.",Kamala Harris,Michigan
"Harris stopped by cred cafe on the east side, which hosted a watch party for a radio town hall that aired from Detroit with harris and host charlotte main the god.",Kamala Harris,Michigan
"After the show, harris met with voters like retired Detroit school teacher Justine Trevick.",Kamala Harris,Michigan
"Harris also made a stop at Norwest Art Gallery, a locally owned business on the northwest side.",Kamala Harris,Michigan
President Trump has listened to black men and delivered real results.,Donald Trump,Michigan
"I really don't, i think they know that Kamala is for the people.",Kamala Harris,Michigan
One Michigan senator has thrown his support behind current Vice President Kamala Harris to become the Democratic nominee.,Kamala Harris,Michigan
Our Al Myers caught up with the senator in Lansing today and brings us the latest on why he's excited to support Harris.,Kamala Harris,Michigan
It didn't take long for Michigan Senator Gary Peters to throw his endorsement behind current Vice President Kamala Harris after President Biden stepped away from the presidential race.,Kamala Harris,Michigan
I know that Vice President Harris is going to have a choice of a lot of qualified individuals.,Kamala Harris,Michigan
Peters told reporters after a Senate field hearing in Lansing that he quickly endorsed Harris for the nomination and noted just how quick he thinks the running mate selection will be.,Kamala Harris,Michigan
"There very well could be other names that are just not being talked about, but I know that Vice President Harris is going to have a choice of a lot of qualified individuals.",Kamala Harris,Michigan
"And when Kamala Harris was endorsed by the President and everybody across the party, all across the country, stepped up to say now let's come together and be unified with her, I think it bodes very well for the future.",Kamala Harris,Michigan
I don't remember anything about Donald Trump prior to his political candidacy.,Donald Trump,Michigan
My feelings were mostly anxiety about the potential of Donald Trump being elected.,Donald Trump,Michigan
"It was a put a lot on Trump, but it wasn't even like his fault.",Donald Trump,Michigan
"Trump started Project Warp Speed, but then once he left office and Biden was there and pushing out the vaccine, all of a sudden the vaccine was being railed against by people that were former Trump allies.",Donald Trump,Michigan
"I know Trump will leave it up to the states, which I think is fine.",Donald Trump,Michigan
Kamala Harris is the best option we have right now.,Kamala Harris,Michigan
She's restored a bit of that faith that democracy will win.,Kamala Harris,Michigan
I know Kamala is more like women's rights.,Kamala Harris,Michigan
There has never been an individual who is a greater threat to our Republic than Donald Trump.,Donald Trump,Michigan
Donald Trump won.,Donald Trump,Michigan
"The latest, Kerry Lake, trump won, you're right.",Donald Trump,Michigan
Michigan Congressman Peter Meyer voted to impeach Trump after the capital attack this week.,Donald Trump,Michigan
He lost to a Trump back challenger.,Donald Trump,Michigan
But there is a lot of efforts being taken sort of below Donald Trump at the actual sort of state party level and sort of the campaign machinery is really trying to promote it.,Donald Trump,Michigan
Politico reports part of the reason could be gains Trump has made with black men.,Donald Trump,Michigan
"One man said his friends described Trump as funny, entertaining, brave.",Donald Trump,Michigan
He said he's impressed by Trump's business experience.,Donald Trump,Michigan
It's not that black men are significantly shifting to Donald Trump.,Donald Trump,Michigan
"So, Brendan Harris, on her part, has faced criticism and a lot of handwriting from Democrats, first for not doing enough interviews and then for not doing enough rallies.",Kamala Harris,Michigan
"NBC reports, Harris appears to be okay with the collective jitters, recognizing that if Democrats fear they might lose, they're more apt to show up at the polls and help her win.",Kamala Harris,Michigan
"Do you agree with that, i mean, 17 days out, how do you see Harris's chances as of today, right now: i mean, it's a complete coin flip at this point, but I do think that fear of losing is a very good motivator.",Kamala Harris,Michigan
She needs to find some way to recapture the momentum.,Kamala Harris,Michigan
"Maybe the way to do that is to make sure that people understand the stakes, that there's a very real chance that Donald Trump is president again very soon.",Donald Trump,Michigan
Kamala Harris has not been the Democratic nominee officially for a very long time.,Kamala Harris,Michigan
"So, she was being strategic with the calendar she was given.",Kamala Harris,Michigan
"Yeah, and Brandon Harris is also rallying with to Amisha's point, former President Obama next week.",Kamala Harris,Michigan
He's got another event tonight.,Kamala Harris,Michigan
How critical do you see both Obamas as being on the trail for Harris: because she's just trying to energize that coalition.,Kamala Harris,Michigan
Are they the ones to do it for her: yeah.,Kamala Harris,Michigan
And I think she's done that.,Kamala Harris,Michigan
"And of course, Barack Obama is pretty good at lobbying insults at Donald Trump.",Donald Trump,Michigan
"It turns out, like everything he says, this is totally false.",Donald Trump,Michigan
"Hat tip to Channel 6 News, WLNS, some great local reporting, they got their hands on footage of the moment Donald Trump was driving up to this venue where he gave this unhinged and very bizarre speech.",Donald Trump,Michigan
And guess what: there were not thousands and thousands of people as far as the eye can see as he was driving up.,Donald Trump,Michigan
"So surprise, surprise, he's lying.",Donald Trump,Michigan
"Now, so what Donald Trump does at all of these, all of these events, he always lies about the crowd sizes.",Donald Trump,Michigan
"And there's quite literally nobody there, he'll leave one of the buildings that he has his name on and he'll wave.",Donald Trump,Michigan
"Meanwhile, Donald Trump gives himself fake AI endorsements of Swifties and Taylor Swift.",Donald Trump,Michigan
We're not endorsing him and Donald Trump continues to do stunts like that.,Donald Trump,Michigan
"Yeah, and look all Donald Trump does his lie and lie about crowd sizes.",Donald Trump,Michigan
Donald Trump is not losing sleep over that question.,Donald Trump,Michigan
Here's a 78 year old billionaire who has not stopped whining about his problems since he wrote down his golden escalator nine years ago.,Donald Trump,Michigan
It has been a constant stream of gripes and grievances that that's actually been getting worse now that he's afraid of losing the common.,Donald Trump,Michigan
This is what he said on Friday.,Donald Trump,Michigan
"Play this clip, and they say he had a hundred thousand people.",Donald Trump,Michigan
"He claimed there were 25,000 people.",Donald Trump,Michigan
"And actually at that event, Donald Trump had a rapper named Sleepy Hollow talking.",Donald Trump,Michigan
Donald Trump was bragging about the guy's grill.,Donald Trump,Michigan
And this is how Trump was showing that he was having black support.,Donald Trump,Michigan
Here's Donald Trump praising the grill of Sleepy Hollow.,Donald Trump,Michigan
"But over and over again, this is what Trump does, you know, he'll go into a black church, fill it with white MAGA supporters and claim he's speaking at a black church.",Donald Trump,Michigan
"You know, he's always just bragging about these crowd sizes.",Donald Trump,Michigan
"And that's what's really getting under Donald Trump's skin right now is that, you know, she's filling up stadiums that are bigger than his.",Donald Trump,Michigan
So he's going into these small venues and these really small kind of towns like Potterville.,Donald Trump,Michigan
"And then he's saying, oh, you don't even see the people.",Donald Trump,Michigan
"Here's what he talked about, billions of dollars, you know, somebody said, what do you think he lost: i said, probably two, three billion.",Donald Trump,Michigan
"And, you know, if you want to see who these Trump supporters are, I mean, they're out there holding sperm cups of JD vans.",Donald Trump,Michigan
