Sentence,Presidential_Candidate,State,Vote_1,Vote_2,Final_Sent
And I think it's important for Vice President Harris to raise this much money.,Kamala Harris,Pennsylvania,0,1,1
"She's previously held major positions in the state of California as Attorney General, and so on.",Kamala Harris,Pennsylvania,0,0,0
"But yet, the very public wasn't necessarily familiar with her, and although she is currently the Vice President of the United States of America, but as we know, the Vice President's role is not to overshadow the President.",Kamala Harris,Pennsylvania,0,1,0
"So the question is this, kamala Harris, till the time that she became the contender, was not seen as a vice president who performed so superbly well.",Kamala Harris,Pennsylvania,0,1,0
And she herself has been out knocking on every door.,Kamala Harris,Pennsylvania,1,0,0
And I think she's very committed to not leaving anyone behind.,Kamala Harris,Pennsylvania,1,1,1
She's very visible across the country.,Kamala Harris,Pennsylvania,1,0,1
And the campaign has had a robust public relations plan to go out to make sure that the public understands her policy position.,Kamala Harris,Pennsylvania,0,1,0
"Right, and also for the public to understand who she is as a candidate and what she will bring to the table if she were to become president of the United States.",Kamala Harris,Pennsylvania,0,1,0
"So I think communications, why her team has done an excellent job.",Kamala Harris,Pennsylvania,1,1,1
"And I think people are trying to get things on the momentum, but also to look at who her opponent is.",Kamala Harris,Pennsylvania,0,0,0
Donald Trump is increasingly unstable and unhinged.,Donald Trump,Pennsylvania,-1,-1,-1
And he is out for unchecked power.,Donald Trump,Pennsylvania,-1,0,-1
Donald Trump on the other hand turned his event into a dance party yesterday after two people suffered medical emergencies at the event.,Donald Trump,Pennsylvania,-1,1,-1
"Everyone let's thank President Trump, nice and loud, so play YMCA, go ahead.",Donald Trump,Pennsylvania,0,1,1
"It's strange, it sounds like he got a little fed up with taking questions and went with an unorthodox way of getting around taking questions.",Donald Trump,Pennsylvania,-1,1,-1
"And moreover, those of you who are nostalgic for the Trump presidency and the Trump economy, you're forgetting all of the other things that come along with when Trump is president.",Donald Trump,Pennsylvania,-1,0,-1
I think a lot of people will be happy to see a Trump that's having fun on the trail because it indicates that he's more confident about where the election is going.,Donald Trump,Pennsylvania,0,1,1
But it would be malpractice to abandon making these points about the kind of fundamental threat that Trump poses to democracy.,Donald Trump,Pennsylvania,-1,-1,-1
I do remember the day that he suggested that we shoot people on the streets.,Donald Trump,Pennsylvania,-1,-1,-1
They also have some good ads where they go through a lot of Trump's former cabinet members saying he's not fit.,Donald Trump,Pennsylvania,0,1,0
"Donald Trump was doing an event that was meant to be him speaking, a town hall, answering questions and talking about what he would be doing as president.",Donald Trump,Pennsylvania,0,0,0
And Donald Trump just started to ask for music to be played instead and then he danced.,Donald Trump,Pennsylvania,0,1,0
I want to ask you about kind of the new tactic of Kamala Harris as well.,Kamala Harris,Pennsylvania,0,1,0
Trying to make that case to black men around the country that especially younger black men that she should be the one with their vote.,Kamala Harris,Pennsylvania,0,0,0
"Tomorrow, Vice President Harris travels to Pennsylvania for a campaign rally in Erie, she'll be back in the state on Wednesday for another rally.",Kamala Harris,Pennsylvania,0,0,0
Kamala Harris is ready to do the job.,Kamala Harris,Pennsylvania,1,1,1
This is a leader who has spent her life fighting on behalf of people who need a voice and a champion.,Kamala Harris,Pennsylvania,1,1,1
"Vote for Kamala Harris, joining us now, Pennsylvania's Senior Senator, Democrat Bob Casey.",Kamala Harris,Pennsylvania,1,0,0
But we're going to keep working to get our vote out and to get Kamala's vote out to win this race.,Kamala Harris,Pennsylvania,1,1,1
"In a significant development for the 2024 election cycle, Donald Trump has recently secured a notable legal victory in Pennsylvania that could potentially alter the trajectory of the presidential race.",Donald Trump,Pennsylvania,0,1,1
The Trump campaign and its allies have long championed the need for robust measures to ensure that every aspect of the voting process is secure and transparent.,Donald Trump,Pennsylvania,0,1,0
"Recent polling data suggests that Trump is currently favored in several key battleground states, including Pennsylvania, Arizona, and Georgia.",Donald Trump,Pennsylvania,0,0,0
"It also provides a strong talking point for Trump and his allies as they campaign across the country, emphasizing their focus on securing the electoral process.",Donald Trump,Pennsylvania,1,1,1
"In addition to the legal and political implications of the Pennsylvania Supreme Court's ruling, there are also strategic considerations for the Trump campaign.",Donald Trump,Pennsylvania,0,1,0
"In conclusion, Donald Trump's recent legal victory in Pennsylvania is a significant development that could have far-reaching implications for the 2024 presidential election.",Donald Trump,Pennsylvania,0,1,1
The Pennsylvania Supreme Court's decision to uphold the requirements for mail-in ballots reinforces the Republican stance on election integrity and provides a boost to Trump's campaign as it prepares for the final stages of the race.,Donald Trump,Pennsylvania,0,1,1
"Donald Trump's recent legal victory in Pennsylvania, with the state Supreme Court upheld the requirements for mail-in ballots to be signed and dated, has significant implications for his chances in the upcoming presidential election.",Donald Trump,Pennsylvania,0,1,1
"Trump's primary campaign message has focused on election integrity, arguing that stringent measures are needed to prevent voter fraud.",Donald Trump,Pennsylvania,0,-1,0
"The recent Pennsylvania Supreme Court ruling, which mandates that mail-in ballots be signed and dated, aligns with Trump's position on maintaining strict voting standards.",Donald Trump,Pennsylvania,0,1,0
"This legal victory serves as a concrete example of Trump's commitment to securing the electoral process, which can enhance his credibility among voters who are concerned about the potential for fraud.",Donald Trump,Pennsylvania,1,1,1
"By successfully defending these requirements, Trump can argue that his campaign is actively working to ensure fair elections.",Donald Trump,Pennsylvania,0,1,1
"This reinforcement of his integrity message can be leveraged to build trust with voters who prioritize election security, potentially swaying those who might have been skeptical of his claims.",Donald Trump,Pennsylvania,0,1,0
Trump's base is highly motivated by issues related to election integrity.,Donald Trump,Pennsylvania,-1,0,-1
"This mobilization is crucial in Pennsylvania, a key battleground state, as increased voter turnout among Trump supporters could be decisive in a closely contested election.",Donald Trump,Pennsylvania,1,1,1
"This can lead to higher enthusiasm and turnout among his supporters, who are likely to view the legal victory as a validation of their concerns and motivations.",Donald Trump,Pennsylvania,1,1,1
Trump's campaign can use the Pennsylvania ruling to highlight perceived vulnerabilities within the Democratic Party.,Donald Trump,Pennsylvania,0,1,0
Trump can argue that Democrats' opposition to these requirements is an attempt to undermine the security of the electoral process.,Donald Trump,Pennsylvania,0,-1,-1
"By emphasizing this point, Trump's campaign can paint Democrats as being opposed to necessary safeguards, potentially swaying undecided voters and those concerned about election security.",Donald Trump,Pennsylvania,-1,0,-1
"If Trump's campaign can demonstrate success in Pennsylvania, it might encourage legal actions or legislative efforts in other battleground states to adopt or enforce similar measures.",Donald Trump,Pennsylvania,0,1,1
"Securing a legal victory in Pennsylvania not only strengthens Trump's campaign's messaging on election integrity, but also showcases its legal and political strategy.",Donald Trump,Pennsylvania,1,1,1
"The legal victory serves as a testament to Trump's ability to navigate and influence legal and political processes, which can enhance his appeal to voters who value these qualities.",Donald Trump,Pennsylvania,1,1,1
The Pennsylvania ruling reinforces Trump's campaign's argument that there are vulnerabilities in the electoral system that need to be addressed.,Donald Trump,Pennsylvania,0,-1,0
"By highlighting the court's decision as evidence of their commitment to preventing fraud, Trump's campaign can continue to push the narrative that the 2020 election was flawed and that they are actively working to address these issues.",Donald Trump,Pennsylvania,-1,0,0
"By maintaining focus on these issues, Trump's campaign can keep the conversation centered on topics that mobilize their base and appeal to undecided voters.",Donald Trump,Pennsylvania,1,-1,1
Trump can use this legal victory to emphasize his commitment to election integrity and contrast it with Democratic positions.,Donald Trump,Pennsylvania,0,1,0
"In summary, Donald Trump's recent legal victory in Pennsylvania has the potential to influence the election in several significant ways.",Donald Trump,Pennsylvania,0,1,1
"Harris and her running mate, Minnesota Governor Tim Walz, will take their bus tour through central Pennsylvania this week, making multiple stops across the state.",Kamala Harris,Pennsylvania,0,-1,0
"Whenever the campaign is here, there is a focus on speaking with Latino voters in part because when you visit Allentown, you are visiting a Latino city.",Kamala Harris,Pennsylvania,0,0,0
And Kamala Harris are hitting the campaign trail in the battleground state of Pennsylvania today.,Kamala Harris,Pennsylvania,0,-1,0
"And these differences, majority two-thirds of Trump voters feel that hurricane relief funds have not been going to people impacted by the hurricane.",Donald Trump,Pennsylvania,-1,1,-1
What can you tell us about the event today that's going to be held in Pennsylvania: so Donald Trump will be in a Philly suburb later today.,Donald Trump,Pennsylvania,1,0,0
"He's coming back towards Philadelphia, where Republicans have been outspent in the state, though a ton of money has been going into Pennsylvania politics this cycle.",Donald Trump,Pennsylvania,0,0,0
"We've seen Donald Trump go to the suburbs of Harrisburg repeatedly, the suburbs of Pittsburgh repeatedly, and now he'll be in the suburbs of Philadelphia.",Donald Trump,Pennsylvania,1,0,0
"But he's making the same argument to them that their lives would improve, same as any of these battleground states, on things like immigration and the economy, if Donald Trump gets reelected.",Donald Trump,Pennsylvania,0,1,0
"Good morning, Vlad, vice President Harris will be focusing on courting specifically black men throughout this week.",Kamala Harris,Pennsylvania,0,1,1
And I'm seeing it this morning as well with Vice President Harris unveiling new policy proposals that are also directly targeted at helping black men.,Kamala Harris,Pennsylvania,1,1,1
"For example, she's also unveiling policies that providing a million loans for black entrepreneurs, national health initiative that is intended to focus on diseases that particularly impact black people.",Kamala Harris,Pennsylvania,1,0,0
"Two, his poll numbers are going to go through the roof and he's going to blame everything on the establishment.",Donald Trump,Pennsylvania,-1,-1,-1
He's going to say that they all conspired against him.,Donald Trump,Pennsylvania,-1,0,-1
"This was a plot to make sure that America never becomes first again, because his supporters already think he's the second coming of Jesus.",Donald Trump,Pennsylvania,-1,1,-1
There's other person talking about how you know serious the situation is and people should just take him more serious.,Donald Trump,Pennsylvania,0,-1,0
"And when it comes to crucial battleground states, well, the candidates are effectively even, with Harris up by just one percentage point.",Kamala Harris,Pennsylvania,0,1,0
We see the Harris campaign focusing on a swing county.,Kamala Harris,Pennsylvania,0,0,0
"Zach, the Harris campaign is unveiling a new agenda aimed at attracting black male voters.",Kamala Harris,Pennsylvania,0,1,0
"Well, that's verifiably false, harris has been anything but clear.",Kamala Harris,Pennsylvania,-1,1,-1
Even fake news CNN fact checked her on that.,Kamala Harris,Pennsylvania,-1,-1,-1
And Kamala Harris has said many times over that she wanted to ban fracking and transition energy workers.,Kamala Harris,Pennsylvania,0,-1,0
And Pennsylvania's do not believe Kamala Harris will not come after fossil fuels.,Kamala Harris,Pennsylvania,-1,0,-1
"The ban on fracking and disaster, pennsylvania's cannot trust Kamala Harris or Bob Casey on the most critical industry for their future.",Kamala Harris,Pennsylvania,0,-1,-1
"And no tax on Social Security, we'll see how Kamala lies about that tomorrow.",Kamala Harris,Pennsylvania,-1,-1,-1
"This is how it goes now, and then we have the lies that Trump and his crack team of wing nuts have been spreading.",Donald Trump,Pennsylvania,-1,-1,-1
They go around to Trump rallies to interview the people there.,Donald Trump,Pennsylvania,0,0,0
I've been hearing a lot from Kamala Harris lately.,Kamala Harris,Pennsylvania,1,0,0
"Yesterday, Trump was in Reading, Pennsylvania, where Nurse Fatschett is going all in on these bogus stories about forced gender swaps.",Donald Trump,Pennsylvania,0,-1,-1
And he's mad at the media.,Donald Trump,Pennsylvania,0,-1,-1
He's been lashing out at 60 minutes.,Donald Trump,Pennsylvania,-1,0,-1
He says CBS should have their license revoked for reasons even he hasn't come up with yet.,Donald Trump,Pennsylvania,-1,0,-1
"But they should be revoked, he's mad at Howard Stern.",Donald Trump,Pennsylvania,-1,-1,-1
"And he's mad at Whoopi Goldberg, who once headlined the showroom at the casino he ran into the ground.",Donald Trump,Pennsylvania,-1,-1,-1
"It's crazy, he was probably waiting outside Whoopi's dressing room to tell her how great she was after the show.",Donald Trump,Pennsylvania,-1,1,1
"Instead of the expected stops in swing states, Trump is holding rallies in solidly blue states like California, Colorado, Illinois, and New York, places where he's losing by a margin wider than his pants.",Donald Trump,Pennsylvania,0,-1,-1
So why is Trump campaigning in California and New York: with states he has about as much chance of winning as he has of winning a BET award instead of the swing states.,Donald Trump,Pennsylvania,0,1,0
"This election, Kamala Harris and Erie, Pennsylvania at this hour, making her case on the economy, arguing her policies will help middle class families reaching out to black voters.",Kamala Harris,Pennsylvania,1,1,1
"Tonight, Science Harris is closing the gap on the economy.",Kamala Harris,Pennsylvania,1,0,1
Trump tonight outside Philadelphia is turning to the economy.,Donald Trump,Pennsylvania,0,0,0
"You've been eaten alive with inflation and all I'm doing is getting you back to even Harris tonight focused on the economy too in Western Pennsylvania, making the case that her policies will help middle America and trying to reach out to black voters, stopping at a black owned business in Erie today.",Kamala Harris,Pennsylvania,0,1,0
And I cannot impress upon people enough that this is somebody Donald Trump who intends to take us backward and saying this about earning votes from black Americans.,Donald Trump,Pennsylvania,-1,-1,-1
"Trump this weekend stepping up his anti-immigrant rhetoric and suggesting he might use the military against, quote, radical left lunatics on Election Day.",Donald Trump,Pennsylvania,0,-1,0
This is among the reasons I believe so strongly that a second Trump term would be a huge risk for America and dangerous.,Donald Trump,Pennsylvania,-1,0,-1
They are letting horrible people into our country.,Donald Trump,Pennsylvania,-1,-1,-1
They are poisoning our country by contrast.,Donald Trump,Pennsylvania,0,-1,-1
It's one of the reasons I'm here to support him and let everyone know we won't be intimidated.,Donald Trump,Pennsylvania,0,1,1
"Meanwhile, Harris and her future running mate will travel together across the country next week, a source familiar with the matter confirmed to ABC News.",Kamala Harris,Pennsylvania,0,0,0
"The first question came from ABC's Scott, who asked about Trump's past incendiary rhetoric towards women of color.",Donald Trump,Pennsylvania,-1,0,0
The former president continued mocking Harris.,Kamala Harris,Pennsylvania,0,-1,-1
"A new poll in Pennsylvania, a new poll of 600 potential voters in Pennsylvania conducted by Susquehanna polling and research places Harris ahead by four percentage points in the state.",Kamala Harris,Pennsylvania,1,0,0
Harris matched him among voters 65 and older and saw support from white voters without a college degree rise to 41 percent from April.,Kamala Harris,Pennsylvania,0,1,1
Pennsylvania found itself at the heart of American politics once again with a visit from Vice President Kamala Harris and Minnesota Governor Tim Walz.,Kamala Harris,Pennsylvania,1,0,1
"From education to the economy, their message resonated with voters eager for leadership and a vision for a brighter tomorrow.",Kamala Harris,Pennsylvania,1,1,1
"Their visit served as a reminder that Pennsylvania is not just a prize to be won, but a community to be heard and understood.",Kamala Harris,Pennsylvania,1,1,1
"The energy surrounding Harris and Walz's visit was palpable, underscoring the high stakes of the upcoming election.",Kamala Harris,Pennsylvania,0,1,1
"Together, Harris and Walz present a powerful combination of experience, perspective, and vision.",Kamala Harris,Pennsylvania,1,1,1
"Harris, with her deep understanding of national policy and her ability to navigate complex issues, brings a comprehensive approach to governing.",Kamala Harris,Pennsylvania,0,1,1
"Harris, known for his common sense approach and his commitment to bipartisanship, adds a pragmatic and relatable element to their message.",Kamala Harris,Pennsylvania,1,1,1
Tariffs aren't unique to President Trump.,Donald Trump,Pennsylvania,0,0,0
"Right, but but she also really her message is that Trump is not fit to be president.",Donald Trump,Pennsylvania,0,-1,-1
She needs to be showing that she takes these issues seriously.,Kamala Harris,Pennsylvania,0,-1,0
"And we do see that from when she joined the race, she has improved significantly on the economy.",Kamala Harris,Pennsylvania,1,1,1
"He's still leading, but the gap has narrowed.",Donald Trump,Pennsylvania,0,0,0
"The gap has narrowed, which is a positive for her, and what what her campaign is saying is the more she talks about it, the better she is doing on this and more so that you talk to voters and they're becoming increasingly familiar with her.",Kamala Harris,Pennsylvania,1,1,1
"And Donald Trump does have this branding that has worked well for him of this businessman, this successful businessman persona that can run this country like a business.",Donald Trump,Pennsylvania,0,1,1
"And that's the challenge she has that that really lies ahead and that Donald Trump still gets to drive home regardless of what he says, regardless of who he offends.",Donald Trump,Pennsylvania,-1,-1,-1
And that is still that perception that he understands and that he is actually going to improve the economy.,Donald Trump,Pennsylvania,0,1,0
They've got internal polling data now that says they might even be tied.,Kamala Harris,Pennsylvania,1,0,0
He's nearing 50 percent and then the Emerson poll trumps up by four in Pennsylvania in the Fox News poll.,Donald Trump,Pennsylvania,1,0,0
Now we have less than eight months to go and Donald Trump is leading in Pennsylvania.,Donald Trump,Pennsylvania,0,0,0
"I don't exactly know what the issue was there, but still looking at the big picture when it comes down to it, Trump is leading in Pennsylvania.",Donald Trump,Pennsylvania,0,0,0
He has a very high floor.,Donald Trump,Pennsylvania,1,0,0
He's leading polls and pollsters that are very hostile to Republicans and that are very hostile to Donald Trump.,Donald Trump,Pennsylvania,-1,-1,-1
"Yes, he has to go on offense technically because he's flipping these states.",Donald Trump,Pennsylvania,0,1,0
"So that's why Pennsylvania is so crucial, do I think that Donald Trump can run the table on all six of these states: absolutely.",Donald Trump,Pennsylvania,1,0,0
We're gonna be spending a lot more time in Pennsylvania I am feeling very good when Kamala Harris says she has no intention of banning fracking.,Kamala Harris,Pennsylvania,1,1,1
"Yeah, what do you make of that: i don't believe her I Don't believe her because you can't change your mind just because you want to be the president fracking is an issue Whether it's Pennsylvania or anyplace else in the country.",Kamala Harris,Pennsylvania,-1,1,-1
"But once it switched from Biden to Kamala Harris, they backed out.",Kamala Harris,Pennsylvania,-1,0,0
That's plus three for Kamala Harris.,Kamala Harris,Pennsylvania,1,0,0
"So I think Trump has a really high floor, but a very low ceiling.",Donald Trump,Pennsylvania,0,-1,0
"His favorables were far higher, and I think it's because the economy did well under his presidency.",Donald Trump,Pennsylvania,1,1,1
"And it looks like it's actually turned in favor of Kamala Harris in Pennsylvania for the first time very, very slightly.",Kamala Harris,Pennsylvania,0,1,0
So you could see Kamala Harris kind of barely hanging on with like this point seven point eight lead.,Kamala Harris,Pennsylvania,0,1,0
The only thing that would give you pause is the people that Trump picks are always really weak and he's a lot stronger than them.,Donald Trump,Pennsylvania,0,-1,-1
"The only thing is only caveat is I hope it doesn't end up being correct because Trump is a stronger pollster, a stronger candidate.",Donald Trump,Pennsylvania,0,1,0
"So, yeah, good news coming out of Pennsylvania for Kamala Harris.",Kamala Harris,Pennsylvania,1,1,1
Markets that measure a second order effect of Harris's surge are also feeling an effect while a balance of power contracts still has a Republican sweep as the highest probability outcome at 30%.,Kamala Harris,Pennsylvania,0,1,0
"The market is waiting for the first Trump-Harris debate to be confirmed, an event that could certainly move markets.",Kamala Harris,Pennsylvania,0,1,0
Democrats are a worried lot because Kamala Harris' numbers appear to be declining.,Kamala Harris,Pennsylvania,-1,-1,-1
"But what's making Democrats really worried is that Harris was leading by two or three points in Pennsylvania, Michigan and Wisconsin since the start of August.",Kamala Harris,Pennsylvania,0,-1,0
But now the polls show that the race has tightened and Trump is closing the gap.,Donald Trump,Pennsylvania,-1,0,0
"What I cannot understand is why anybody would think that Donald Trump will shake things up in a way that is good for you, Pennsylvania.",Donald Trump,Pennsylvania,-1,0,-1
Donald Trump is a 78 year old billionaire who has not stopped whining about his problems since he wrote down his golden escalator nine years ago.,Donald Trump,Pennsylvania,-1,-1,-1
But now the Biden-Harris administration's record appears to be dragging her down.,Kamala Harris,Pennsylvania,-1,0,-1
"That's what Kamala is going to do, she's been loyal so far but she's going to cut her own path.",Kamala Harris,Pennsylvania,0,-1,0
"Polls show that the former president has erased Kamala Harris' gains in the key battleground states of Wisconsin, Michigan, Pennsylvania and even Nevada.",Kamala Harris,Pennsylvania,0,-1,0
"And that's where I think you see a stark contrast, right, kamala Harris talking about cutting childcare costs, right: having a childcare tax credit.",Kamala Harris,Pennsylvania,0,1,0
"Former President Donald Trump returned to the campaign trail with a fiery rally in Harrisburg, Pennsylvania, reigniting his base with his signature rhetoric and promises.",Donald Trump,Pennsylvania,1,1,1
"The crowd was a vast sea of red, white and blue, with enthusiastic attendees proudly sporting Make America Great Again hats and energetically waving Trump flags.",Donald Trump,Pennsylvania,1,1,1
"The enthusiasm was palpable, a testament to Trump's enduring popularity among his loyal base.",Donald Trump,Pennsylvania,0,1,1
Many attendees had traveled from neighboring states eager to hear Trump speak and show their unwavering support.,Donald Trump,Pennsylvania,1,1,1
"So we have a new poll that came out from one of the most left-leaning pollsters in the country, NPR Marist, out of the state of Pennsylvania, and Donald Trump leads.",Donald Trump,Pennsylvania,0,0,0
"This is post-conviction, he leads across the board.",Donald Trump,Pennsylvania,1,0,0
He leads with independence.,Donald Trump,Pennsylvania,1,0,0
"He leads with enthusiastic voters, not so enthusiastic voters, and he leads, period.",Donald Trump,Pennsylvania,1,1,1
"He leads by two in Pennsylvania, and you have third-party candidates that are polled in the mix, but these are pretty reasonable numbers.",Donald Trump,Pennsylvania,0,1,0
"If Donald Trump wins this state, it is likely game over.",Donald Trump,Pennsylvania,-1,1,-1
"What's going on in this election, and this is after the conviction, Donald Trump seeing a bump in the state of Pennsylvania in a pollster that is not friendly for him, and it's not friendly for Republicans, and it makes sense.",Donald Trump,Pennsylvania,0,-1,-1
It would make sense that Donald Trump can make up enough ground to win Pennsylvania.,Donald Trump,Pennsylvania,0,1,0
Donald Trump has been convicted of a felony.,Donald Trump,Pennsylvania,-1,-1,-1
"They look at this and they say, Trump is done.",Donald Trump,Pennsylvania,-1,0,-1
"You got like, what, 10% of his voter base.",Donald Trump,Pennsylvania,0,1,0
"So, you know, Trump probably wins the state by double digits.",Donald Trump,Pennsylvania,0,1,0
Donald Trump narrowly won it.,Donald Trump,Pennsylvania,0,1,0
Trump flipped it.,Donald Trump,Pennsylvania,1,0,0
"But again, I don't know what's going on with the intel because Trump's endorsements for a while are really improving.",Donald Trump,Pennsylvania,0,1,0
"A lot of these Gunter voters, they're for sure gonna vote for Trump.",Donald Trump,Pennsylvania,0,1,0
"But still, Trump's endorsement is doing well.",Donald Trump,Pennsylvania,1,1,1
"But overall, it was a good night for Donald Trump.",Donald Trump,Pennsylvania,1,1,1
Donald Trump is in the lead in Pennsylvania.,Donald Trump,Pennsylvania,1,0,0
"Is Kamala Harris going to be the next president of the United States of America: for someone who has, um, you know, sort of claims to be doing good, but actually he's not, you know, he is tearing down the fabric of society.",Kamala Harris,Pennsylvania,-1,1,-1
"But wait, it gets worse when it comes to tariffs with Donald Trump.",Donald Trump,Pennsylvania,-1,-1,-1
"Donald Trump, donald Trump is the Grinch that wants to steal your Christmas.",Donald Trump,Pennsylvania,-1,-1,-1
Which is exactly why we need Kamala Harris to be the next president of the United States of America.,Kamala Harris,Pennsylvania,1,1,1
"Are you going to work to help Kamala Harris be elected, are you going to go and talk to every single person you know and ask them and help them vote for Kamala Harris: yes!",Kamala Harris,Pennsylvania,1,1,1
"And some people are considering this a flip-flop, but Harris is saying that this is simply aligning her with the Biden administration, which also did not call for banning fracking.",Kamala Harris,Pennsylvania,-1,0,0
"Most of the 50 states, it can be predicted which candidate they're going to vote for.",Kamala Harris,Pennsylvania,0,0,0
They're more likely to vote for a Democrat.,Kamala Harris,Pennsylvania,0,0,0
They've gone back and forth.,Kamala Harris,Pennsylvania,0,0,0
"Pennsylvania is a really important one, some people think that it may be, at this moment, the most important battleground state for Vice President Harris to try to win if she wants to be president.",Kamala Harris,Pennsylvania,1,1,1
"It has 19 electoral votes, and it is among the states that she would need to have to get to 270 electoral votes.",Kamala Harris,Pennsylvania,1,0,0
"Pennsylvania for her is considered a big important state, because there are other states that may be out of reach in that battleground state alignment.",Kamala Harris,Pennsylvania,1,0,1
"Harris is likely to win Philadelphia and some of those suburbs, and also Pittsburgh, perhaps, but the very far outer rings, that's where she's less likely to do well.",Kamala Harris,Pennsylvania,0,1,0
"So he doesn't say I'm going to ban, he doesn't say I was going to ban fracking.",Donald Trump,Pennsylvania,0,-1,0
"And he can keep doing that, i think that's a successful way to go after your opponent, is to talk about their record.",Donald Trump,Pennsylvania,0,1,0
And she is actually changing her mind on a lot of issues that matter to battleground state voters.,Kamala Harris,Pennsylvania,0,-1,0
"So the state of Pennsylvania, we talk about how important Pennsylvania is to Donald Trump's chances in the 2024 presidential election all the time because this is a state that is the largest swing state, you know, Florida and Texas, those states are not really going to be all that competitive.",Donald Trump,Pennsylvania,0,1,0
But also you have a pollster that had Donald Trump trailing the last poll called the Muhlenberg College poll.,Donald Trump,Pennsylvania,0,0,0
"It may not be a state Trump takes by any more than a point, but still it just matters that he wins it.",Donald Trump,Pennsylvania,0,1,0
"You know, it is true that maybe all the polls this time don't underestimate Trump.",Donald Trump,Pennsylvania,0,1,0
"But when you look at this, it's a very good sign for Trump.",Donald Trump,Pennsylvania,1,1,1
"Donald Trump in a lot of the Western Pennsylvania counties sees saw gains even in 2020, despite losing ground nationwide and losing ground in the state as a whole.",Donald Trump,Pennsylvania,0,1,0
Is he going to get the black turnout: he got in the Philadelphia area.,Donald Trump,Pennsylvania,0,0,0
"So you look at it and it's like, yeah, I really think that Pennsylvania is a state Trump can pick off.",Donald Trump,Pennsylvania,-1,0,-1
And it has gotten redder.,Donald Trump,Pennsylvania,1,0,0
"Because like I said, I'm not saying Trump's not the favorite.",Donald Trump,Pennsylvania,0,0,0
"It's improving, but will it improve enough to give Donald Trump a boost: i'd like to think so.",Donald Trump,Pennsylvania,0,1,0
"Even if he still ends up getting convicted, i don't think it's going to hurt him at this point.",Donald Trump,Pennsylvania,-1,-1,-1
But the polls have been pretty even nationally and they show a Trump victory.,Donald Trump,Pennsylvania,1,1,1
"So if the if the voter base turns out well, you know, I think it's going to be something that's going to give Donald Trump a boost.",Donald Trump,Pennsylvania,1,1,1
"You know, they were going up against Trump's endorsement and there was no Democrat primary that was open on the governor's side.",Donald Trump,Pennsylvania,0,0,0
"Am I saying Trump's going to win it by 21 points: honestly, I think he's going to win it by around 20.",Donald Trump,Pennsylvania,0,1,0
"He could win by 21 but still like to say that this proves that Donald Trump is Jover, you know by that logic.",Donald Trump,Pennsylvania,0,1,0
It was a mix of several things but Trump is still breaking records with the zombie vote and he technically does it again in Indiana.,Donald Trump,Pennsylvania,1,0,1
But apparently it's over for him despite the fact that Indiana is like an open primary and Biden's not really getting a lot of votes.,Donald Trump,Pennsylvania,0,1,0
"Yeah, that's exactly the result that you get but still Donald Trump is fine.",Donald Trump,Pennsylvania,-1,0,-1
He's up in Pennsylvania.,Donald Trump,Pennsylvania,1,0,0
